"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"39","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.107081197189269,0.185511905059845,0.242671234315845,0.296327265072281,0.376549017691157,"PARENTAL","Biomass","Human/Env."
"40","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.31820137643734,-0.233049824198323,-0.173005504320058,-0.110616450675943,-0.00424407273221413,"PARENTAL","Biomass","Human/Env."
"41","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.466218710909065,-0.266477707328152,-0.128858878800528,0.00985324193767341,0.209133387825249,"PARENTAL","Biomass","Human/Env."
"42","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",-0.222048887519547,-0.0318140061181502,0.104979662257942,0.237401412414933,0.434257142962497,"PARENTAL","Biomass","Human/Env."
"43","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-1.36411109184036,-0.912260930896204,-0.605640995748618,-0.316166200890013,0.0994709963930193,"PARENTAL","Biomass","Intrinsic Connect."
"44","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.329444950198564,-0.178670952728561,-0.0732228884289882,0.03353127994914,0.206999799865103,"PARENTAL","Biomass","Intrinsic Connect."
"45","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.310040978948053,-0.0974936712355611,0.0292169431767348,0.158871204364928,0.35767126617058,"PARENTAL","Biomass","Intrinsic Connect."
"46","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.140576133026624,-0.103687585803341,-0.0771077668525366,-0.0507014736157735,-0.0115107605588593,"PARENTAL","Biomass","Extrinsic Connect."
"47","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.234054468550018,-0.117273015321253,-0.0398663828902063,0.0426487356107014,0.186062800797467,"PARENTAL","Biomass","Extrinsic Connect."
"48","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.204374943319686,0.304140447007675,0.374979373696059,0.447524877829847,0.546422062917881,"PARENTAL","Biomass","Human/Env."
