ID,region,locality,sites,Age_MPA,Class,lat,lon,biomassarea,biomassarea1,biomassarea2,grav_total,ModelMode,FE_Fish,Larval_behaviour,LocalRet,Indegree,Outdegree,Btw
V1875,central_iwp,solomon,solomon_12,24,Closed,-7.4678,158.0456,365.6127501,334.787737,334.787737,12.81812821,pare ,pare ,passive,0,76,86,21729.31817
V1880,central_iwp,solomon,solomon_10,12,Fished,-7.4068,158.226,55.06765897,50.45989006,50.45989006,4.580460162,pare ,pare ,passive,2,71,92,442513.4839
V190,central_iwp,aceh,aceh_2,0,Fished,5.6286,95.1565,110.0393068,86.56011682,86.56011682,450.3657373,pare ,pare ,passive,117,65,52,5602.902628
V1901,central_iwp,solomon,solomon_8,0,Fished,-7.8465,158.722,64.82671902,64.80812435,64.80812435,1.644818785,pare ,pare ,passive,10,64,118,182379.6589
V1917,central_iwp,solomon,solomon_21,21,Closed,-8.0173,156.7709,630.9444787,529.2527502,529.2527502,4.114091201,pare ,pare ,passive,31,170,71,7084.236603
V1919,central_iwp,solomon,solomon_3,0,Fished,-8.1455,159.6348,59.12498344,59.0050427,59.0050427,3.753540451,pare ,pare ,passive,10,161,79,5240.773514
V1929,central_iwp,solomon,solomon_25,0,Fished,-8.426,157.9521,250.054646,145.7012041,145.7012041,35.56657712,pare ,pare ,passive,4,72,54,4395.205249
V193,central_iwp,aceh,aceh_5,0,Fished,5.7889,95.3417,147.1494285,126.9153394,126.9153394,379.9162581,pare ,pare ,passive,3,25,76,115323.2833
V1938,central_iwp,solomon,solomon_39,0,Fished,-8.7613,161.0117,125.117861,116.2858683,116.2858683,72.61468967,pare ,pare ,passive,21,65,41,22961.4205
V194,central_iwp,aceh,aceh_1,36,Closed,5.8791,95.26,510.6010796,453.732283,453.732283,131.2382199,pare ,pare ,passive,5,27,81,422422.9364
V2718,offshore_tep,galapagos,galapagos_6,21,Restricted,-0.2603,-90.5679,304.9209437,183.7046932,183.7046932,0.268098073,pare ,pare ,passive,0,0,1,0
V2720,offshore_tep,galapagos,galapagos_7,21,Restricted,-1.2359,-90.4003,1343.405534,552.266912,552.266912,0.251718396,pare ,pare ,passive,0,0,0,0
