"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowBR)","cond(IndegreeBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"7384",4.00111834607575,"+",NA,NA,NA,"+",0.0934380664121506,NA,0.0111017191143279,NA,0.0359844942189974,NA,NA,NA,NA,NA,NA,NA,NA,NA,31589.9372017179,31663.1573346873,0.00527477692000868,0.770796446306396,"Gamma(log)",12,-15782.9686008589,31590.0321210972,NA,NA
"7385",4.02206495760234,"+",NA,NA,"+","+",0.0963195940019558,NA,0.0164334117529893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31586.6077498091,31665.929560526,0.00583931008972464,0.775715663749973,"Gamma(log)",13,-15780.3038749046,31586.7185227854,NA,NA
"7386",4.03597567649607,"+",NA,NA,"+",NA,0.0869006255173666,NA,NA,NA,NA,NA,NA,0.0580681802683221,NA,NA,NA,NA,0.00363264519121406,NA,31565.1089452919,31632.2274005139,0.00775021511251014,0.774666059882733,"Gamma(log)",11,-15771.554472646,31565.1892372627,NA,NA
"7387",4.0033032633076,"+",NA,NA,NA,"+",0.0866929717099291,NA,NA,NA,NA,NA,NA,0.0668873397431687,NA,NA,NA,NA,0.00466849120402529,NA,31575.4810324127,31648.7011653821,0.00651777598762486,0.769928082298318,"Gamma(log)",12,-15775.7405162063,31575.5759517921,NA,NA
"7388",4.00474078625763,"+",NA,NA,NA,NA,0.0849462434494873,NA,NA,0.0566787030365399,0.0190788417714016,NA,NA,NA,NA,NA,NA,NA,-0.00239443439979243,NA,31570.1861646169,31631.2029420915,0.00660936597869292,0.770287441489572,"Gamma(log)",10,-15775.0930823085,31570.253054249,NA,NA
"7389",4.0377420513837,"+",NA,NA,"+",NA,0.08674996161181,NA,NA,0.0680598347422297,NA,NA,NA,NA,NA,NA,NA,NA,-0.008070007936071,NA,31558.4861111839,31625.6045664059,0.00827161891769037,0.775134809690433,"Gamma(log)",11,-15768.2430555919,31558.5664031547,NA,NA
"7390",3.99756048231132,"+",NA,NA,NA,"+",0.0857405161867869,NA,NA,0.0682962889165778,NA,NA,NA,NA,NA,NA,NA,NA,-0.00376320333805254,NA,31572.995504295,31646.2156372645,0.00665178501077334,0.770472366688743,"Gamma(log)",12,-15774.4977521475,31573.0904236744,NA,NA
"7391",4.02223777123348,"+",NA,NA,"+",NA,0.0924281847462762,NA,NA,NA,0.0289981339825125,NA,NA,NA,NA,NA,NA,NA,0.0180667880773797,NA,31577.4290285387,31644.5474837607,0.00643359852411648,0.775605973178897,"Gamma(log)",11,-15777.7145142693,31577.5093205095,NA,NA
"7392",4.0014444969936,"+",NA,NA,NA,"+",0.0931037812931818,NA,NA,NA,0.0369447526186589,NA,NA,NA,NA,NA,NA,NA,0.0200922027459846,NA,31587.9859050688,31661.2060380382,0.00542934105863426,0.770853852751327,"Gamma(log)",12,-15781.9929525344,31588.0808244481,NA,NA
"7393",4.02120349837283,"+",NA,NA,"+","+",0.0962071264964816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206908587738605,NA,31585.3822308187,31664.7040415356,0.00591872938285273,0.775950040081966,"Gamma(log)",13,-15779.6911154093,31585.493003795,NA,NA
"7394",4.03723625263481,"+",NA,NA,"+",NA,0.081409758125336,NA,NA,NA,NA,NA,NA,0.0504322465200077,NA,NA,NA,NA,NA,0.0281768229235774,31560.4870294468,31627.6054846688,0.00816204057348725,0.774812834411706,"Gamma(log)",11,-15769.2435147234,31560.5673214176,NA,NA
"7395",4.00367491737282,"+",NA,NA,NA,"+",0.0818009356816645,NA,NA,NA,NA,NA,NA,0.0596599613985771,NA,NA,NA,NA,NA,0.0251763819779487,31571.95720403,31645.1773369995,0.00683721791324769,0.769982526548993,"Gamma(log)",12,-15773.978602015,31572.0521234094,NA,NA
"7396",4.03823784942273,"+",NA,NA,"+","+",0.0875046317886845,NA,NA,NA,NA,NA,NA,0.0743236245589746,NA,NA,NA,NA,NA,NA,31562.4679527803,31641.7897634972,0.00862124750213774,0.77431409629204,"Gamma(log)",13,-15768.2339763902,31562.5787257566,NA,NA
"7397",4.0370311776073,"+",NA,NA,"+",NA,0.0844614942053229,NA,NA,0.0571778356571014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147018502498605,31557.7614059416,31624.8798611636,0.00833532646661421,0.775169519154223,"Gamma(log)",11,-15767.8807029708,31557.8416979124,NA,NA
"7398",3.9983252699763,"+",NA,NA,NA,"+",0.0834311457417051,NA,NA,0.0590060370197577,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151796198436811,31571.9213089314,31645.1414419008,0.00675434995306619,0.770510112764639,"Gamma(log)",12,-15773.9606544657,31572.0162283108,NA,NA
"7399",4.03698784898542,"+",NA,NA,"+",NA,0.0857954236799161,NA,NA,0.0610600388982764,0.0154081420524176,NA,NA,NA,NA,NA,NA,NA,NA,NA,31557.6273117235,31624.7457669455,0.00852753983498353,0.774988754237108,"Gamma(log)",11,-15767.8136558618,31557.7076036943,NA,NA
"7400",4.00134104657773,"+",NA,NA,NA,"+",0.0848702016690127,NA,NA,0.0618115173039913,0.0259793729291486,NA,NA,NA,NA,NA,NA,NA,NA,NA,31569.8915312008,31643.1116641702,0.00712867529425022,0.770042831662044,"Gamma(log)",12,-15772.9457656004,31569.9864505802,NA,NA
"7401",4.03318676972116,"+",NA,NA,"+","+",0.0865998765601105,NA,NA,0.0724260999178349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31559.2669364419,31638.5887471588,0.00870153695980464,0.774972744465371,"Gamma(log)",13,-15766.633468221,31559.3777094182,NA,NA
"7402",4.02621567549775,"+",NA,NA,"+",NA,0.0839232614210648,NA,NA,NA,0.0270696050754258,NA,NA,NA,NA,NA,NA,NA,NA,0.03972419642212,31569.4738671081,31636.5923223301,0.00716023310610087,0.775692991610425,"Gamma(log)",11,-15773.736933554,31569.5541590789,NA,NA
"7403",4.00225259604984,"+",NA,NA,NA,"+",0.0848739689303833,NA,NA,NA,0.0351739289497593,NA,NA,NA,NA,NA,NA,NA,NA,0.0385256271697532,31581.2954298212,31654.5155627906,0.00605530958610863,0.770760107756592,"Gamma(log)",12,-15778.6477149106,31581.3903492006,NA,NA
"7404",4.02383070251392,"+",NA,NA,"+","+",0.0869073796204429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424190934121832,31576.874508127,31656.1963188439,0.0066728647133045,0.776013176874276,"Gamma(log)",13,-15775.4372540635,31576.9852811032,NA,NA
