"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(Richness)","cond(SelfR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"1843",5.86627383723891,"+",0.25715857529909,NA,NA,"+",NA,NA,NA,NA,0.497212097560579,-0.0576905876171551,NA,NA,-0.163532287521724,NA,0.0290012315267767,NA,NA,45829.9454701424,45915.3689586068,0.0595305145183398,0.429429801956934,"Gamma(log)",14,-22900.9727350712,45830.0733240237,181.661068518442,2.28647523320321e-41
"2935",5.84993019823833,"+",0.252955809334957,-0.00430902690943928,NA,"+",NA,NA,-0.174183049203352,NA,0.505272213384112,NA,NA,NA,NA,NA,NA,NA,NA,45829.9766002782,45909.2984109951,0.0580869589000675,0.422078544163636,"Gamma(log)",13,-22901.9883001391,45830.0873732544,181.675117749161,2.27046990561231e-41
"2926",5.85035760080666,"+",0.247461069488881,-0.00792861975849932,NA,NA,NA,NA,NA,NA,0.499596783564946,NA,NA,NA,-0.151535933277361,NA,NA,0.0271989438977586,NA,45830.1638230938,45897.2822783158,0.0586422636645594,0.426472315497124,"Gamma(log)",11,-22904.0819115469,45830.2441150646,181.831859559345,2.09932509943933e-41
"3246",5.88327533009622,"+",NA,NA,NA,"+",-0.128029806638686,NA,-0.0735407821589884,NA,0.532477147222344,NA,NA,NA,NA,NA,NA,NA,-0.159269025222584,45830.1385452448,45909.4603559617,0.0600515105858934,0.455124244578072,"Gamma(log)",13,-22902.0692726224,45830.2493182211,181.837062715815,2.09387063913137e-41
"3059",5.88142204844911,"+",NA,0.00578531000471864,NA,NA,-0.13380248643657,NA,NA,NA,0.523618971059351,0.0114303664125434,-0.185384471535937,NA,NA,NA,NA,NA,NA,45830.1982732722,45897.3167284942,0.0609362267452108,0.456159295745013,"Gamma(log)",11,-22904.0991366361,45830.278565243,181.86630973775,2.06347369558309e-41
"3076",5.88144536636973,"+",NA,0.00577793344425129,NA,NA,-0.133804942424775,NA,NA,NA,0.523627109468307,0.0270301742222013,NA,NA,NA,NA,NA,NA,-0.191017983613353,45830.1982764509,45897.3167316729,0.0609430866435341,0.456115710261611,"Gamma(log)",11,-22904.0991382255,45830.2785684217,181.866312916427,2.06347041602781e-41
"668",5.89218925902644,"+",NA,0.00529844093374532,NA,"+",-0.134494693433431,-0.0777487735616718,NA,NA,0.525041179346415,0.0106865729689928,-0.187370179304145,NA,NA,NA,NA,NA,NA,45830.2113899067,45921.7365561185,0.0654779248370245,0.448334167818588,"Gamma(log)",15,-22900.1056949533,45830.3575531223,181.945297617,1.9835672855398e-41
"699",5.8921888424895,"+",NA,0.00529842276092075,NA,"+",-0.134495206873836,-0.0777489791888983,NA,NA,0.525040744111139,0.0264618882875992,NA,NA,NA,NA,NA,NA,-0.193071108054946,45830.2113909798,45921.7365571916,0.0654780167135828,0.44833264512222,"Gamma(log)",15,-22900.1056954899,45830.3575541954,181.945298690094,1.9835662212624e-41
"542",5.86940410164354,"+",0.247671844393671,-0.0087807260873392,NA,"+",NA,-0.0693329501831394,NA,NA,0.50297728557018,NA,NA,NA,-0.164535775000318,NA,0.0159536118720128,NA,NA,45830.2371450947,45921.7623113065,0.0613056823728349,0.416899727796057,"Gamma(log)",15,-22900.1185725474,45830.3833083103,181.971052805027,1.95818747750147e-41
"4188",5.86089621024421,"+",0.252636072550867,NA,NA,"+",NA,NA,NA,NA,0.49961090768507,NA,NA,NA,-0.155417969433071,NA,NA,NA,NA,45830.3789916722,45903.5991246416,0.0575423200373348,0.426367563585476,"Gamma(log)",12,-22903.1894958361,45830.4739110515,182.061655546247,1.87145820995057e-41
"1727",5.86381138765289,"+",0.260742156984964,-0.00989537486362111,NA,"+",NA,NA,NA,NA,0.496954382779696,-0.0543611560899224,NA,NA,-0.149797810910151,NA,NA,NA,NA,45830.3644984901,45915.7879869545,0.0589795432540785,0.428785221292051,"Gamma(log)",14,-22901.1822492451,45830.4923523714,182.080096866106,1.85428144248854e-41
"747",5.89518219316073,"+",NA,0.00524105741263431,NA,"+",-0.133597670879088,-0.0784879122576197,NA,NA,0.52548532331212,NA,NA,NA,-0.0282758608476212,NA,NA,NA,-0.166164589710514,45830.4590762944,45921.9842425062,0.0652182805079656,0.449129255285769,"Gamma(log)",15,-22900.2295381472,45830.60523951,182.192984004687,1.75251813716894e-41
"4223",5.84678915556823,"+",NA,0.0212112516401996,NA,"+",NA,NA,NA,NA,0.521427389798401,NA,NA,NA,NA,-0.250884596191086,NA,NA,NA,45830.6166552596,45903.836788229,0.0543068364095049,0.4343009443717,"Gamma(log)",12,-22903.3083276298,45830.7115746389,182.299319133665,1.66177469504556e-41
"2930",5.84880865623981,"+",0.249848630472005,-0.0077157118183732,NA,NA,NA,NA,NA,NA,0.498892282516315,NA,NA,NA,-0.145661134178829,NA,0.0106643860028054,NA,NA,45830.6763618882,45897.7948171102,0.0579179464028908,0.425872025724936,"Gamma(log)",11,-22904.3381809441,45830.756653859,182.344398353751,1.62473790680416e-41
"1922",5.85178448438305,"+",NA,0.0183923413012333,NA,"+",NA,NA,NA,NA,0.52326965000702,-0.0418618627928931,NA,NA,-0.0357347272061303,-0.235915502344226,NA,NA,NA,45830.6823622218,45916.1058506862,0.0548807422859599,0.437826754623978,"Gamma(log)",14,-22901.3411811109,45830.8102161031,182.397960597824,1.58180309007019e-41
"3131",5.88181568134879,"+",NA,0.00576266468908745,NA,NA,-0.133540948523351,NA,NA,NA,0.522666793233438,NA,NA,NA,-0.0157898712600589,NA,NA,NA,-0.169727656502192,45830.8723791176,45897.9908343396,0.0608952172243786,0.456991191461609,"Gamma(log)",11,-22904.4361895588,45830.9526710884,182.540415583106,1.47305415215049e-41
"4257",5.88984898308541,"+",NA,NA,NA,"+",-0.133178501793537,NA,NA,-0.186433700959648,0.52715500925298,NA,NA,NA,NA,NA,NA,NA,NA,45831.062615544,45904.2827485134,0.0625407395127643,0.453879226809138,"Gamma(log)",12,-22903.531307772,45831.1575349233,182.745279418057,1.3296370130965e-41
"3117",5.8493864539889,"+",NA,0.0190925042480521,NA,"+",NA,NA,NA,NA,0.525677990515116,NA,NA,NA,-0.0422590193435541,-0.233451410394722,NA,NA,NA,45831.0886074719,45910.4104181889,0.0541547760279674,0.435641621919163,"Gamma(log)",13,-22902.544303736,45831.1993804482,182.78712494293,1.30210634685553e-41
"1900",5.88583256876876,"+",NA,0.00722328360379111,NA,"+",-0.129625538635353,NA,-0.069496752212353,-0.163836068526114,0.535258044179137,NA,NA,NA,NA,NA,NA,NA,NA,45831.2129405992,45916.6364290635,0.0611776835286631,0.452991523906189,"Gamma(log)",14,-22901.6064702996,45831.3407944804,182.928538975146,1.21321784281297e-41
"1996",5.88568297066115,"+",NA,NA,NA,"+",-0.128710364392516,NA,-0.0687899260811709,-0.165389847473842,0.536319632282227,0.00237272695574979,NA,NA,NA,NA,NA,NA,NA,45831.2736634133,45916.6971518776,0.0612173575788303,0.452633045437429,"Gamma(log)",14,-22901.6368317066,45831.4015172945,182.989261789262,1.17693640678281e-41
"3033",5.86447731792178,"+",0.24824316528903,NA,NA,"+",NA,NA,NA,NA,0.501341448623295,NA,NA,NA,-0.169189011886703,NA,NA,0.0325142871284148,NA,45831.5576236699,45910.8794343868,0.0586646229551299,0.427234991170796,"Gamma(log)",13,-22902.778811835,45831.6683966462,183.256141140919,1.02991381199839e-41
"4301",5.88580117755124,"+",NA,NA,NA,"+",-0.13270971337143,NA,NA,NA,0.523709434624949,NA,-0.184082713010761,NA,NA,NA,NA,NA,NA,45831.7554134741,45904.9755464435,0.0611690025609009,0.456383479729746,"Gamma(log)",12,-22903.877706737,45831.8503328534,183.438077348153,9.40359544643836e-42
"1955",5.88217925854042,"+",NA,0.00697010826845636,NA,"+",-0.129101278062585,NA,-0.0707128133520129,NA,0.532470615057905,NA,-0.161313877586785,NA,NA,NA,NA,NA,NA,45831.7626472589,45917.1861357232,0.0599344126571336,0.455114189493648,"Gamma(log)",14,-22901.8813236294,45831.8905011401,183.478245634862,9.21661623127889e-42
"856",5.8667520893141,"+",0.256845940801976,-0.0101026470425178,NA,"+",NA,NA,NA,NA,0.498546523102316,-0.0527477129438628,NA,NA,-0.161580401133772,NA,NA,0.0273581378093547,NA,45831.7854380117,45923.3106042235,0.0598948056424444,0.429439818092374,"Gamma(log)",15,-22900.8927190059,45831.9316012273,183.51934572203,9.02914721165815e-42
"2002",5.88194671255944,"+",NA,NA,NA,"+",-0.128218979600696,NA,-0.0698825505799019,NA,0.53351477114717,0.00301588592509394,-0.163156132083632,NA,NA,NA,NA,NA,NA,45831.8144650778,45917.2379535421,0.0599479449916819,0.454770195981518,"Gamma(log)",14,-22901.9072325389,45831.9423189591,183.530063453778,8.98089063853074e-42
"861",5.86641015035509,"+",0.257542391441097,-0.00986000873572417,NA,"+",NA,NA,NA,NA,0.498582885732699,-0.0579041986533349,NA,NA,-0.163710986996851,NA,0.0289823637099635,NA,NA,45831.8129312695,45923.3380974814,0.0596916253197801,0.429257000337428,"Gamma(log)",15,-22900.9064656348,45831.9590944851,183.546838979855,8.90587609787544e-42
"1777",5.84928981820754,"+",0.254458159737228,-0.00450547914641781,NA,"+",NA,NA,-0.169926542105235,NA,0.504768367406196,NA,NA,NA,NA,NA,-0.0111763350868341,NA,NA,45831.8770451911,45917.3005336555,0.0578986017563578,0.422167960503677,"Gamma(log)",14,-22901.9385225956,45832.0048990724,183.592643567114,8.70422901266836e-42
"1981",5.88327503369898,"+",NA,0.00691763447731169,NA,"+",-0.128988447464592,NA,-0.0738041394178086,NA,0.531624033268602,NA,NA,NA,NA,NA,NA,NA,-0.158710561729259,45832.0765063589,45917.4999948233,0.0600079393360961,0.455392231719418,"Gamma(log)",14,-22902.0382531795,45832.2043602402,183.792104734937,7.87803428910879e-42
"3038",5.86225896107155,"+",0.250646784489389,NA,NA,"+",NA,NA,NA,NA,0.500673934713337,NA,NA,NA,-0.163392481756679,NA,0.0160567838602286,NA,NA,45832.2028439458,45911.5246546628,0.0578727286334477,0.426538973218466,"Gamma(log)",13,-22903.1014219729,45832.3136169221,183.901361416829,7.45921421910313e-42
"2937",5.86096467070297,"+",0.252946289918393,-0.00870028555434074,NA,"+",NA,NA,NA,NA,0.500846396167807,NA,NA,NA,-0.155597923150364,NA,NA,NA,NA,45832.275897695,45911.5977084119,0.0576758826799459,0.426260520003193,"Gamma(log)",13,-22903.1379488475,45832.3866706713,183.97441516602,7.19166848767661e-42
"4337",5.88730115273761,"+",NA,NA,NA,"+",-0.132945341725516,NA,NA,NA,0.522132308210473,NA,NA,NA,NA,NA,NA,NA,-0.181398652911283,45832.470910746,45905.6910437155,0.0612853322083103,0.456767786493906,"Gamma(log)",12,-22904.235455373,45832.5658301254,184.153574620097,6.57545300950082e-42
"3157",5.88906004183987,"+",NA,NA,NA,"+",-0.133417514456784,NA,NA,-0.190151077140913,0.528110222104875,0.0103009026667499,NA,NA,NA,NA,NA,NA,NA,45832.9292038466,45912.2510145635,0.062438540974797,0.453502716823524,"Gamma(log)",13,-22903.4646019233,45833.0399768228,184.627721317556,5.18759462183502e-42
"3055",5.88985604538205,"+",NA,0.0055744644344026,NA,"+",-0.133928000369917,NA,NA,-0.186060513958486,0.526429235272017,NA,NA,NA,NA,NA,NA,NA,NA,45833.0218614334,45912.3436721503,0.0625031182107903,0.454096880091595,"Gamma(log)",13,-22903.5109307167,45833.1326344097,184.7203789044,4.95274185000991e-42
"957",5.8856668668738,"+",NA,0.00725751411747934,NA,"+",-0.129707702630129,NA,-0.069046905923509,-0.164868539225261,0.535420321280899,0.00247859666177872,NA,NA,NA,NA,NA,NA,NA,45833.2053557501,45924.730521962,0.0611606723621494,0.452910571281839,"Gamma(log)",15,-22901.6026778751,45833.3515189657,184.939263460459,4.43931042320251e-42
"1774",5.8646054562628,"+",0.248546850191336,-0.00899631440131828,NA,"+",NA,NA,NA,NA,0.502617272752321,NA,NA,NA,-0.169445401903636,NA,NA,0.0326662632845589,NA,45833.4472947314,45918.8707831958,0.0588144862420675,0.427071024420227,"Gamma(log)",14,-22902.7236473657,45833.5751486127,185.162893107445,3.96967501362308e-42
"3170",5.88483873670718,"+",NA,NA,NA,"+",-0.132931944410553,NA,NA,NA,0.524697182532367,0.0112329882919612,-0.188212940666811,NA,NA,NA,NA,NA,NA,45833.5973940702,45912.9192047871,0.0610303211984167,0.456041389531239,"Gamma(log)",13,-22903.7986970351,45833.7081670464,185.295911541136,3.71424346448233e-42
"3201",5.88484254239357,"+",NA,NA,NA,"+",-0.132933316105335,NA,NA,NA,0.524697278897781,0.027078519189056,NA,NA,NA,NA,NA,NA,-0.19393977567331,45833.5973943337,45912.9192050506,0.0610304538911076,0.456041626454195,"Gamma(log)",13,-22903.7986971668,45833.7081673099,185.295911804656,3.71424297509247e-42
"3099",5.8858091866073,"+",NA,0.00522713681210347,NA,"+",-0.133419084454266,NA,NA,NA,0.523032603661373,NA,-0.183720681693734,NA,NA,NA,NA,NA,NA,45833.7195675001,45913.041378217,0.0611415487535238,0.456590908276177,"Gamma(log)",13,-22903.8597837501,45833.8303404764,185.418084971105,3.49414356182917e-42
"963",5.88194102703572,"+",NA,0.00700899157630189,NA,"+",-0.129193320868275,NA,-0.070141276189985,NA,0.532654224031734,0.00310735574347388,-0.162631225871452,NA,NA,NA,NA,NA,NA,45833.7507802609,45925.2759464728,0.0599045852692649,0.455032299310625,"Gamma(log)",15,-22901.8753901305,45833.8969434765,185.48468797125,3.3796994955402e-42
"3249",5.88780033376766,"+",NA,NA,NA,"+",-0.132089304101552,NA,NA,NA,0.524866873836722,NA,NA,NA,-0.0263929313180859,NA,NA,NA,-0.167729454397847,45833.9609340574,45913.2827447743,0.060793815698332,0.456944442087764,"Gamma(log)",13,-22903.9804670287,45834.0717070337,185.659451528372,3.09691055790343e-42
"4073",5.87106858986616,"+",NA,NA,NA,NA,NA,-0.07701296894384,-0.06933169170461,-0.179570209615888,0.514747208746208,NA,NA,NA,NA,NA,NA,NA,NA,45834.1045943143,45895.1213717888,0.0596132604110056,0.425725122108998,"Gamma(log)",10,-22907.0522971571,45834.1714839464,185.759228441115,2.94620105935421e-42
"1779",5.86236132281288,"+",0.250964081742534,-0.00863720285657105,NA,"+",NA,NA,NA,NA,0.501890912778143,NA,NA,NA,-0.163541226611057,NA,0.0159894579834501,NA,NA,45834.1012785186,45919.5247669829,0.0580097394486296,0.426376257753535,"Gamma(log)",14,-22903.0506392593,45834.2291323998,185.816876894562,2.86249132194708e-42
"4089",5.86741014767968,"+",NA,NA,NA,NA,NA,-0.0769073526355729,-0.0704266303986429,NA,0.511914090593096,NA,-0.178116350622649,NA,NA,NA,NA,NA,NA,45834.3369611578,45895.3537386324,0.0582154699270179,0.42836237176321,"Gamma(log)",10,-22907.1684805789,45834.4038507899,185.991595284635,2.6230378798562e-42
"3135",5.88731214672867,"+",NA,0.00512772592136462,NA,"+",-0.133641100602485,NA,NA,NA,0.52147229819499,NA,NA,NA,NA,NA,NA,NA,-0.181036509519724,45834.4364062661,45913.758216983,0.0612586837593403,0.456967572345829,"Gamma(log)",13,-22904.218203133,45834.5471792423,186.134923737045,2.44163748835008e-42
"4116",5.86788053744991,"+",NA,NA,NA,NA,NA,-0.0771154530014373,-0.0734165803741133,NA,0.510921861595564,NA,NA,NA,NA,NA,NA,NA,-0.175589143080132,45834.6661377312,45895.6829152057,0.0583019022727984,0.428737055353991,"Gamma(log)",10,-22907.3330688656,45834.7330273633,186.320771858031,2.22497316641443e-42
"1892",5.88905786677017,"+",NA,0.00576605049250834,NA,"+",-0.13419665451994,NA,NA,-0.189807515396021,0.527372105807104,0.0104135253189191,NA,NA,NA,NA,NA,NA,NA,45834.8856283853,45920.3091168496,0.0623987028700267,0.45372545722966,"Gamma(log)",14,-22903.4428141926,45835.0134822665,186.601226761268,1.93385883641419e-42
"1905",5.88484961876832,"+",NA,0.00542192927091701,NA,"+",-0.133672751527776,NA,NA,NA,0.524007015658581,0.0113307759372242,-0.187874563819147,NA,NA,NA,NA,NA,NA,45835.5588644249,45920.9823528893,0.0610015228541068,0.456253772043193,"Gamma(log)",14,-22903.7794322125,45835.6867183062,187.274462800924,1.38112638058581e-42
"1936",5.88484779409281,"+",NA,0.00542169915845869,NA,"+",-0.133671840681732,NA,NA,NA,0.524005690231753,0.0271484459795436,NA,NA,NA,NA,NA,NA,-0.193591884827187,45835.5588658863,45920.9823543506,0.0610012484269987,0.456253174067236,"Gamma(log)",14,-22903.7794329431,45835.6867197676,187.274464262271,1.38112537143374e-42
