"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(grav_nei)","cond(grav_total)","cond(InflowMPA)","cond(InflowNei)","cond(Netflow)","cond(Outdegree)","cond(SelfR)","cond(temp)","cond(CorridorIndegree)","cond(Inflow)","cond(OutFlow)","cond(IndegreeNei)","cond(Indegree)","cond(IndegreeMPA)","cond(FE)","AIC","BIC","R2.R2m","R2.R2c","df","logLik","AICc","delta","weight"
"6599",4.01416662184517,"+",NA,NA,NA,NA,0.00434227219860889,NA,NA,NA,NA,0.0200351900621461,NA,0.0968851306828859,NA,NA,NA,NA,-0.0167249139292329,"+",31388.1243703869,31467.3512901715,0.00406810496431829,0.770997523752473,13,-15681.0621851934,31388.2359583697,2177.63626982374,0
"8036",3.99243793083225,"+",0.0680732437292626,NA,"+",NA,NA,0.00650362037172929,NA,NA,NA,NA,NA,NA,NA,0.045420539208857,NA,NA,NA,NA,31388.2020180151,31455.2401809098,0.0041143816046563,0.778650739868564,11,-15683.1010090076,31388.2829003681,2177.68321182213,0
"8761",3.99485864887809,"+",0.074797337372215,0.0337046444232779,NA,NA,NA,NA,NA,NA,NA,0.0181165238450843,NA,NA,NA,NA,NA,NA,NA,NA,31388.2414947847,31443.0909007894,0.00351975595977753,0.77978352357871,9,-15685.1207473923,31388.2966080731,2177.69691952716,0
"9190",4.00961283417235,"+",NA,NA,NA,NA,NA,NA,0.0792677862414832,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00650488665103766,NA,31388.2747847082,31437.029812268,0.00292438193615232,0.770385419482759,8,-15686.1373923541,31388.3188618432,2177.71917329726,0
"9191",4.00961283417235,"+",NA,NA,NA,NA,NA,NA,0.0792677862414832,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00650488665103766,NA,31388.2747847082,31437.029812268,0.00292438193615232,0.770385419482759,8,-15686.1373923541,31388.3188618432,2177.71917329726,0
"9197",4.00979900192188,"+",NA,NA,NA,NA,NA,-0.00625277181924426,0.0796061766995657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.2806133059,31437.0356408657,0.0029447147903778,0.770289159836524,8,-15686.140306653,31388.3246904409,2177.72500189497,0
"9198",4.00979900192188,"+",NA,NA,NA,NA,NA,-0.00625277181924426,0.0796061766995657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.2806133059,31437.0356408657,0.0029447147903778,0.770289159836524,8,-15686.140306653,31388.3246904409,2177.72500189497,0
"8720",4.0162133493902,"+",NA,NA,NA,NA,0.00435548600455669,NA,NA,NA,NA,NA,NA,0.0894274063198438,NA,NA,NA,NA,NA,"+",31388.2670447975,31455.3052076922,0.00382372879110737,0.769879538944509,11,-15683.1335223988,31388.3479271504,2177.7482386045,0
"9005",4.01634810039538,"+",NA,NA,NA,NA,NA,0.00312481657799774,NA,NA,NA,NA,NA,0.0884055798642255,NA,NA,NA,NA,NA,"+",31388.3296968267,31455.3678597214,0.00384120392777766,0.769927461617275,11,-15683.1648484133,31388.4105791796,2177.81089063369,0
"6400",3.967329833028,"+",NA,NA,"+",NA,0.00292310090933766,NA,NA,NA,NA,NA,NA,NA,0.0569586280926284,0.0323843530204749,NA,NA,NA,"+",31388.2928443285,31473.6141425581,0.00455009992036232,0.776709466444236,14,-15680.1464221642,31388.4216391767,2177.82195063074,0
"8033",3.99258921635651,"+",0.0685179158778099,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0463794319922669,NA,NA,0.00420339763480937,NA,31388.358040644,31455.3962035387,0.00410499105899924,0.778596447634675,11,-15683.179020322,31388.4389229969,2177.83923445097,0
"4857",3.99443529528995,"+",0.068905552075329,0.0329314672341661,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0493693768760894,NA,NA,0.00417478335033351,"+",31388.3296473856,31479.7453240602,0.0046141355544629,0.778023283149367,15,-15679.1648236928,31388.4768866494,2177.8771981035,0
"6298",3.99279031871406,"+",0.0615829625406103,NA,"+",NA,-0.00136895006883418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0596070948071381,NA,"+",31388.3491945724,31473.6704928021,0.00436648001155399,0.776849626238034,14,-15680.1745972862,31388.4779894206,2177.87830087469,0
"8862",4.01154156071576,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325478254606208,0.0799120609280887,NA,NA,"+",31388.3992328073,31455.437395702,0.00424856043538159,0.768766127259114,11,-15683.1996164036,31388.4801151602,2177.88042661428,0
"7712",3.99233904343014,"+",0.069494804627864,NA,"+",NA,-0.00091868413181184,NA,NA,NA,NA,NA,NA,NA,NA,0.0471850473020865,NA,NA,NA,NA,31388.4516365754,31455.4897994701,0.00408404947844384,0.778737867255187,11,-15683.2258182877,31388.5325189284,2177.93283038243,0
"9069",4.01000708505059,"+",NA,NA,NA,NA,-0.000498406932429769,NA,0.0769310431025295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.4894208379,31437.2444483977,0.00295195597282517,0.770310992172031,8,-15686.2447104189,31388.5334979729,2177.93380942693,0
"9070",4.01000708505059,"+",NA,NA,NA,NA,-0.000498406932429769,NA,0.0769310431025295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.4894208379,31437.2444483977,0.00295195597282517,0.770310992172031,8,-15686.2447104189,31388.5334979729,2177.93380942693,0
"4410",3.9896133451942,"+",0.0585815797806064,NA,"+",NA,-0.00113226308111761,NA,NA,NA,NA,0.016896081473475,NA,NA,NA,NA,NA,0.0590783059980845,NA,"+",31388.3951886896,31479.8108653642,0.00447520576606957,0.777682928583077,15,-15679.1975943448,31388.5424279534,2177.94273940741,0
"8899",4.00624243206218,"+",NA,NA,NA,NA,NA,NA,0.0828961988441916,NA,0.0182691994080069,NA,NA,NA,NA,NA,NA,NA,NA,"+",31388.4629769858,31455.5011398805,0.00379154085927028,0.769040804269361,11,-15683.2314884929,31388.5438593387,2177.94417079279,0
"4557",4.01532949109761,"+",NA,NA,NA,NA,0.00499038222816185,-0.00412605346585687,NA,NA,NA,0.0144447899560483,NA,0.0831970814810354,NA,0.0252174827185357,NA,NA,NA,"+",31388.4270605517,31473.7483587813,0.00439124887143474,0.769895298969611,14,-15680.2135302758,31388.5558553999,2177.95616685392,0
"9077",3.99508861097174,"+",0.0761647141341376,0.0331095141500883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.5238691468,31437.2788967066,0.00334096917548334,0.779123222868771,8,-15686.2619345734,31388.5679462818,2177.96825773588,0
"9078",3.99508861097174,"+",0.0761647141341376,0.0331095141500883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.5238691468,31437.2788967066,0.00334096917548334,0.779123222868771,8,-15686.2619345734,31388.5679462818,2177.96825773588,0
"4188",3.99413924393168,"+",0.0698428784999535,0.0329508180462763,"+",NA,-0.000729554533610809,NA,NA,NA,NA,NA,NA,NA,NA,0.0501706797947843,NA,NA,NA,"+",31388.4215936266,31479.8372703012,0.00459382926236583,0.77816067585624,15,-15679.2107968133,31388.5688328904,2177.96914434448,0
"8766",3.99680943610702,"+",0.0731231611915705,0.0332292494225783,NA,NA,NA,0.0177276900480647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31388.5141788823,31443.363584887,0.00345886423723916,0.778702326358611,9,-15685.2570894411,31388.5692921707,2177.96960362475,0
"8877",4.01190311244238,"+",NA,NA,NA,NA,NA,NA,0.0721016941496242,NA,0.0156571466018585,0.0104254524311671,NA,NA,NA,NA,NA,NA,NA,NA,31388.5221254346,31443.3715314393,0.00323842956526517,0.769881689464845,9,-15685.2610627173,31388.577238723,2177.97755017704,0
"9102",4.01419490121448,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315402958243781,0.0660286645814924,NA,NA,NA,31388.5635994708,31437.3186270306,0.00347987979357509,0.76913640301438,8,-15686.2817997354,31388.6076766058,2178.00798805989,0
"9103",4.01419490121448,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315402958243781,0.0660286645814924,NA,NA,NA,31388.5635994708,31437.3186270306,0.00347987979357509,0.76913640301438,8,-15686.2817997354,31388.6076766058,2178.00798805989,0
"8281",3.97332940492359,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0395780246465276,NA,0.0564652709445027,NA,"+",31388.6654573598,31467.8923771444,0.00477000603352339,0.774406608211574,13,-15681.3327286799,31388.7770453426,2178.17735679666,0
"4248",4.0008666356876,"+",0.0729281032145972,0.0323680654157423,NA,NA,-0.00107299354378624,0.0115641334663127,NA,NA,0.0279845709262782,0.0162080561744859,NA,NA,NA,NA,NA,NA,NA,NA,31388.6894829817,31461.8220243214,0.00398593288657977,0.777695799161929,12,-15682.3447414908,31388.7851005116,2178.18541196562,0
"8082",3.99634242687325,"+",0.0724335928759979,0.0337264381205552,NA,NA,NA,0.0148932408512496,NA,NA,NA,0.0157036790967986,NA,NA,NA,NA,NA,NA,NA,NA,31388.8548602436,31449.7986446933,0.00358546914225509,0.779340609208974,10,-15684.4274301218,31388.9222415606,2178.32255301463,0
"8864",4.0040658898448,"+",NA,NA,NA,NA,NA,NA,0.0788677002692927,NA,NA,NA,NA,NA,NA,0.0161126174514516,NA,NA,NA,"+",31388.8762987667,31455.9144616614,0.00358902159716782,0.769754735860058,11,-15683.4381493834,31388.9571811197,2178.35749257371,0
"7964",4.01592294530909,"+",NA,NA,NA,NA,0.00427599960026372,NA,NA,NA,NA,NA,NA,0.0973033078128759,NA,NA,NA,NA,-0.0168055055855488,"+",31388.9521897606,31462.0847311003,0.00393426054239099,0.770060568577691,12,-15682.4760948803,31389.0478072905,2178.44811874451,0
"8820",4.0139038679368,"+",NA,0.0348216347428342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0358581984689943,NA,0.0528032097381889,NA,NA,31389.001508458,31443.8509144628,0.00343780402117799,0.768450713808518,9,-15685.500754229,31389.0566217464,2178.45693320049,0
"4702",4.01040063757452,"+",NA,0.0350466591274438,NA,NA,0.00309861347970752,-0.000904115017524475,NA,NA,NA,0.0208890715176814,NA,NA,NA,NA,0.0878107402496835,NA,NA,"+",31388.945884384,31474.2671826136,0.00421204257141151,0.770451171867964,14,-15680.472942192,31389.0746792322,2178.47499068625,0
"6135",3.99939573063606,"+",0.0744507650665601,NA,NA,NA,-0.000603831882151239,0.00590466713462893,NA,NA,NA,0.00491454197091604,NA,NA,NA,0.0422547088301468,NA,NA,NA,NA,31389.1931269848,31456.2312898795,0.00394211075765672,0.777822831659757,11,-15683.5965634924,31389.2740093378,2178.67432079182,0
"8954",3.97182839772984,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,0.021078994088888,NA,NA,NA,NA,NA,0.061534622053509,NA,NA,31389.2441367571,31450.1879212068,0.00366240434324815,0.776112292642307,10,-15684.6220683785,31389.3115180741,2178.71182952814,0
"8680",4.01234217125855,"+",NA,NA,NA,NA,-0.000156852862920346,NA,0.0739577263026859,NA,0.0152603779123794,NA,NA,NA,NA,NA,NA,NA,NA,NA,31389.272390316,31444.1217963208,0.00325325160565768,0.769405601947402,9,-15685.636195158,31389.3275036044,2178.72781505848,0
"8833",4.01042528500257,"+",NA,NA,NA,NA,NA,NA,0.0703564928431525,NA,NA,0.00776436482252593,NA,NA,NA,0.0109748212386384,NA,NA,NA,NA,31389.280554904,31444.1299609088,0.00305916386227759,0.770434321763403,9,-15685.640277452,31389.3356681925,2178.73597964652,0
"8268",4.01030825366034,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0126329122466323,NA,NA,NA,0.0283494959901192,0.0807626212046389,NA,NA,"+",31389.3723335204,31462.5048748601,0.0041697986770396,0.769430823021587,12,-15682.6861667602,31389.4679510503,2178.86826250431,0
"4247",4.000302316392,"+",0.0739165232374581,0.0323435576518649,NA,NA,-0.00117258843214063,NA,NA,NA,0.0279926906996416,0.0181154219359179,NA,NA,NA,NA,NA,NA,0.00478836999578964,NA,31389.3951097781,31462.5276511177,0.00392493235014909,0.777859455520214,12,-15682.697554889,31389.4907273079,2178.89103876199,0
"7830",4.01217537948565,"+",NA,0.0368723587330819,NA,NA,0.00288355098992587,NA,NA,NA,0.0214378935576523,NA,NA,NA,0.0633894230935625,NA,NA,NA,NA,NA,31389.4374766145,31450.3812610642,0.003274376987753,0.769840566968102,10,-15684.7187383072,31389.5048579315,2178.90516938555,0
"8970",4.00932393020726,"+",NA,NA,NA,NA,NA,-0.00783133277193525,0.0784439533489658,NA,NA,0.0108646176877356,NA,NA,NA,NA,NA,NA,NA,NA,31389.4759596573,31444.3253656621,0.00293715161351677,0.770810768995378,9,-15685.7379798287,31389.5310729457,2178.93138439979,0
"6601",4.014438325438,"+",NA,NA,NA,NA,0.00441746887982815,-0.00086235925588542,NA,NA,NA,0.020222684110533,NA,0.0893376040180078,NA,NA,NA,NA,NA,"+",31389.4234743405,31468.6503941251,0.00394853946562342,0.770824174203208,13,-15681.7117371702,31389.5350623233,2178.93537377735,0
"8765",3.99670010293745,"+",0.07379978763781,0.0330834735172801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132800635195111,NA,31389.5036717409,31444.3530777457,0.00339407277666929,0.778624409884666,9,-15685.7518358705,31389.5587850293,2178.95909648339,0
