"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(temp)","cond(grav_neiBR.1)","cond(IndegreeBR)","cond(InflowBR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"1113",5.87100687424876,"+",0.0127143177796238,-0.0626945699470842,"+","+",-0.150724014085314,NA,NA,NA,0.562867085782502,NA,NA,NA,NA,-0.0925169750714711,-0.106849506345459,NA,NA,NA,45236.2384222951,45339.9669440018,0.122545265811301,0.277875090740068,"Gamma(log)",17,-22601.1192111475,45236.4248939587,162.235805952427,4.36885154718494e-37
"1213",5.87100446327444,"+",0.0127157748154956,-0.062694461940132,"+","+",NA,NA,NA,NA,0.562867648902424,NA,NA,-0.150725071174557,NA,-0.0925175131773204,-0.106848148947108,NA,NA,NA,45236.238423226,45339.9669449327,0.122545429801137,0.277875164126585,"Gamma(log)",17,-22601.119211613,45236.4248948896,162.235806883378,4.36884951359096e-37
"1618",5.7840298376436,"+",0.253571793477137,-0.0358341188729366,NA,NA,NA,NA,NA,-0.41645043301898,0.508398085834663,-0.0799309395350535,0.270882439920214,NA,-0.0730869525861053,NA,NA,NA,NA,NA,45236.3269527682,45315.6487634851,0.124232651293176,0.254074190633343,"Gamma(log)",13,-22605.1634763841,45236.4377257445,162.248637738223,4.34091119058228e-37
"1874",5.95356908907586,"+",-0.0289994182702119,NA,"+","+",NA,NA,NA,NA,0.486505940316546,NA,0.223847653049903,NA,NA,NA,-0.202036240462992,NA,0.0690946921489935,NA,45236.2842544805,45333.9110984397,0.12498965010909,0.197737413487904,"Gamma(log)",16,-22602.1421272402,45236.4499565822,162.260868575941,4.31444570666304e-37
"8907",5.87688885695465,"+",NA,NA,"+",NA,-0.160399465168419,NA,NA,NA,0.540632975280942,NA,NA,NA,NA,-0.122060715201635,NA,NA,NA,NA,45236.4463431904,45303.5647984124,0.125287773937912,0.285021541603298,"Gamma(log)",11,-22607.2231715952,45236.5266351612,162.337547154923,4.15216369005204e-37
"9099",5.87688885753931,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.540632972797691,NA,NA,-0.160399465307409,NA,-0.122060713893833,NA,NA,NA,NA,45236.4463433197,45303.5647985417,0.125287773290803,0.285021541789753,"Gamma(log)",11,-22607.2231716598,45236.5266352905,162.337547284238,4.15216342158229e-37
"757",5.95578095642118,"+",-0.0180111268511724,NA,"+","+",NA,NA,NA,NA,0.483514573074189,-0.0409999118914067,0.231719784050924,NA,NA,NA,-0.211448064465865,NA,0.0827962824450367,NA,45236.4071449865,45340.1356666932,0.126122510621265,0.199037529323429,"Gamma(log)",17,-22601.2035724933,45236.5936166501,162.404528643885,4.01540745320855e-37
"8537",5.94956850533233,"+",NA,NA,"+",NA,NA,NA,-0.13065611536094,NA,0.469686462730412,NA,0.242339935863729,NA,NA,NA,NA,NA,NA,NA,45236.5839363219,45303.7023915439,0.123283711218088,0.197132454849157,"Gamma(log)",11,-22607.291968161,45236.6642282927,162.475140286486,3.87611360591714e-37
"2851",5.87140141072846,"+",NA,NA,"+","+",-0.154142603720203,NA,NA,NA,0.559402070917976,0.0326788749838035,NA,NA,NA,NA,-0.0951408600862207,-0.11660293273942,NA,NA,45236.5435931708,45334.1704371301,0.121710004382842,0.276038233076272,"Gamma(log)",16,-22602.2717965854,45236.7092952726,162.520207266323,3.78974795321124e-37
"3169",5.87139882331791,"+",NA,NA,"+","+",NA,NA,NA,NA,0.55940354479541,0.0326807880107985,NA,-0.15414198353736,NA,NA,-0.0951401600045136,-0.116601200092718,NA,NA,45236.5435962387,45334.170440198,0.121710517520347,0.276037607888689,"Gamma(log)",16,-22602.2717981194,45236.7092983405,162.520210334216,3.78974213994513e-37
"194",5.97572037835855,"+",-0.0187378268139667,-0.0868404385837873,"+","+",NA,0.0679597722994594,-0.16037779047487,NA,0.476015681907315,-0.0100591217691018,0.253493949932077,NA,NA,NA,NA,NA,NA,NA,45236.6088573484,45346.4390568026,0.129808699390259,0.198168612707194,"Gamma(log)",18,-22600.3044286742,45236.8173303749,162.628242368664,3.59046586898998e-37
"4009",5.95508049391623,"+",NA,NA,"+","+",NA,NA,NA,NA,0.479499725621146,-0.0276708558498616,0.237025416793254,NA,NA,NA,-0.174362081651943,NA,NA,NA,45236.7102389673,45328.2354051792,0.122950203362809,0.195893457235073,"Gamma(log)",15,-22603.3551194837,45236.8564021829,162.667314176681,3.52100358586172e-37
"3154",5.87007318564057,"+",NA,-0.0581209028433467,"+","+",NA,NA,NA,NA,0.567190037575831,NA,NA,-0.158555702339595,NA,NA,-0.183206662744181,NA,0.0745343652634628,NA,45236.8583470936,45334.4851910529,0.126029432188962,0.276601649796168,"Gamma(log)",16,-22602.4291735468,45237.0240491954,162.834961189132,3.23789216704665e-37
"2838",5.87007317894166,"+",NA,-0.058120903689623,"+","+",-0.1585556948307,NA,NA,NA,0.567190031171959,NA,NA,NA,NA,NA,-0.183206663014799,NA,0.0745343600752007,NA,45236.8583471213,45334.4851910806,0.126029429767107,0.27660164714176,"Gamma(log)",16,-22602.4291735607,45237.024049223,162.834961216795,3.23789212226144e-37
"3950",5.7972978830244,"+",NA,NA,NA,NA,NA,0.206109986417813,-0.186708925395393,-0.455959373571457,0.557195810340188,NA,0.229047791364841,-0.125473084645773,NA,NA,NA,NA,NA,NA,45236.9326730473,45310.1528060168,0.124870902842165,0.286609674983077,"Gamma(log)",12,-22606.4663365237,45237.0275924267,162.838504420433,3.23216094486839e-37
"3544",5.79729788303545,"+",NA,NA,NA,NA,-0.125473084655485,0.206109986443052,-0.186708925311256,-0.455959373597944,0.557195810342811,NA,0.229047791329138,NA,NA,NA,NA,NA,NA,NA,45236.9326730501,45310.1528060196,0.124870902835824,0.286609675002423,"Gamma(log)",12,-22606.4663365251,45237.0275924295,162.838504423235,3.23216094034136e-37
"210",5.97421900469888,"+",-0.0174691054107148,-0.0862054734445706,"+","+",NA,NA,-0.160886601112191,NA,0.475631689963532,-0.0241144873320718,0.253822234048423,NA,NA,NA,NA,NA,0.0705465565737813,NA,45236.9248297841,45346.7550292383,0.129085901794455,0.196300333794286,"Gamma(log)",18,-22600.4624148921,45237.1333028107,162.944214804418,3.0657607518033e-37
"2707",5.86428670528018,"+",0.00496233147195366,-0.0593311515432754,"+",NA,-0.160540380133695,NA,NA,NA,0.561308837360527,-0.00192835542526098,NA,NA,NA,NA,-0.143521478818828,NA,NA,NA,45237.0605874213,45322.4840758857,0.123169694855808,0.275898715816716,"Gamma(log)",14,-22604.5302937107,45237.1884413026,162.999353296371,2.98239449222657e-37
"2971",5.86428670836403,"+",0.00496233204618113,-0.0593311553158673,"+",NA,NA,NA,NA,NA,0.561308835481706,-0.00192835747579097,NA,-0.160540380540316,NA,NA,-0.14352147744156,NA,NA,NA,45237.0605874257,45322.4840758901,0.123169695978922,0.275898719794507,"Gamma(log)",14,-22604.5302937129,45237.188441307,162.999353300736,2.98239448571664e-37
"3801",5.95718609866937,"+",NA,NA,"+","+",NA,NA,-0.0782763513456286,NA,0.473332197548293,NA,0.248574040336085,NA,-0.100063312679984,NA,NA,NA,NA,NA,45237.1703361974,45328.6955024092,0.12245413216375,0.196439470109005,"Gamma(log)",15,-22603.5851680987,45237.316499413,163.127411406771,2.79741966351259e-37
"3744",5.95232028317798,"+",-0.0180260897969031,NA,"+",NA,NA,0.0665532889353443,-0.158735549102986,NA,0.471448250989751,NA,0.240886051732667,NA,NA,NA,NA,NA,NA,NA,45237.2285537478,45316.5503644647,0.126518035189783,0.201029266330376,"Gamma(log)",13,-22605.6142768739,45237.3393267241,163.150238717848,2.76567239988861e-37
"3983",5.94709023831399,"+",NA,NA,"+",NA,NA,0.0652700885401212,-0.160644076918268,NA,0.471564569448842,-0.00907587263247518,0.243764451036216,NA,NA,NA,NA,NA,NA,NA,45237.2965118238,45316.6183225408,0.126319882125866,0.201719413625392,"Gamma(log)",13,-22605.6482559119,45237.4072848001,163.218196793867,2.67327616949732e-37
