"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(CorridorIndegreeBR)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(InflowLR)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"645",4.0022665056231,"+",NA,0.0258557366750064,NA,NA,"+",NA,0.0325149548552582,NA,0.0125281455662908,NA,NA,0.0286771305384454,0.0668421028033842,NA,NA,NA,31606.2505010499,31691.6739895143,0.00425312133373249,0.770934129615125,"Gamma(log)",14,-15789.125250525,31606.3783549312,59.565873672087,4.28847417889197e-15
"1526",3.99260492081535,"+",0.0666149834327586,NA,"+",NA,"+",NA,NA,0.0644416196226342,-0.00603575179409698,NA,NA,NA,NA,NA,NA,NA,31606.2519749386,31691.675463403,0.0045705514302439,0.77910724955515,"Gamma(log)",14,-15789.1259874693,31606.3798288199,59.5673475607873,4.28531497629636e-15
"1879",4.0063422270563,"+",NA,0.0257754595869585,NA,NA,NA,NA,0.0324486705882846,NA,0.0111797445592691,NA,NA,NA,0.0712953234315446,NA,NA,NA,31606.3596188614,31667.376396336,0.00341056113818546,0.77203995981841,"Gamma(log)",10,-15793.1798094307,31606.4265084935,59.6140272344237,4.18645460430171e-15
"2252",3.97843585498626,"+",NA,0.0208359198994585,"+",NA,NA,NA,NA,NA,0.0212715875117187,0.0721030151958285,NA,NA,NA,NA,NA,NA,31606.3805531437,31673.4990083657,0.00467021082247465,0.775968107555965,"Gamma(log)",11,-15792.1902765718,31606.4608451145,59.6483638553691,4.11519371673853e-15
"1985",4.00071939642885,"+",NA,NA,NA,NA,"+",NA,0.0320719056312216,NA,NA,NA,0.0323860298722898,NA,0.0645992990337411,NA,NA,NA,31606.3905240394,31679.6106570089,0.00383236577409622,0.770870280682041,"Gamma(log)",12,-15791.1952620197,31606.4854434188,59.6729621596933,4.0648903018283e-15
"2035",4.00043788656964,"+",NA,NA,NA,NA,"+",NA,0.0321044921178401,NA,NA,NA,NA,NA,0.0648432886250007,NA,NA,0.0320772630712672,31606.3941744191,31679.6143073885,0.00381113472034224,0.770996524113702,"Gamma(log)",12,-15791.1970872095,31606.4890937984,59.6766125393115,4.0574778720777e-15
"1920",3.97143308471574,"+",NA,0.0246347450240679,"+",NA,NA,NA,0.0317961869802875,NA,NA,NA,NA,NA,NA,NA,NA,0.0620349634196106,31606.4284455484,31673.5469007704,0.00383695745779858,0.777493226310591,"Gamma(log)",11,-15792.2142227742,31606.5087375192,59.6962562601148,4.01782096195747e-15
"731",3.9757842812887,"+",NA,NA,"+",0.0445601537590268,"+",NA,0.0316278363191283,0.0497966165015553,0.00335220319139682,NA,NA,NA,NA,NA,NA,NA,31606.3629753782,31697.88814159,0.00489349992665474,0.776381411328173,"Gamma(log)",15,-15788.1814876891,31606.5091385938,59.6966573346654,4.01701531987243e-15
"686",3.97832728426689,"+",NA,0.0204446936170144,"+",0.0422894089932236,"+",NA,0.0316783917311063,NA,NA,NA,0.0479979234409516,NA,NA,NA,NA,NA,31606.3632054898,31697.8883717016,0.00486033180252732,0.775444766995504,"Gamma(log)",15,-15788.1816027449,31606.5093687054,59.6968874462764,4.01655316552634e-15
"2170",4.00631687687893,"+",0.0710215320747099,NA,"+",0.0604715166645819,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00308622925907536,NA,NA,31606.4666028637,31673.5850580857,0.00420905757835806,0.776073241514444,"Gamma(log)",11,-15792.2333014319,31606.5468948345,59.7344135754029,3.94189293685305e-15
"2234",4.01485774645219,"+",NA,0.0219775278714017,NA,0.0378300892554194,NA,NA,NA,NA,0.0122313721689547,NA,NA,NA,0.0566035248061348,NA,NA,NA,31606.5006449486,31667.5174224232,0.00391860413230985,0.770287665073297,"Gamma(log)",10,-15793.2503224743,31606.5675345808,59.7550533216308,3.90142228707672e-15
"2222",4.0044680484635,"+",NA,0.0269435623137164,NA,NA,"+",NA,NA,0.0377968811300801,NA,NA,NA,NA,0.0611215762489586,NA,NA,NA,31606.5288407117,31679.7489736812,0.00403257924831641,0.771367428175212,"Gamma(log)",12,-15791.2644203559,31606.6237600911,59.8112788319668,3.79326991103234e-15
"1693",3.97584474489066,"+",NA,0.0207325913820035,"+",NA,"+",NA,NA,NA,0.0211518206790691,0.0864503265279727,NA,NA,NA,NA,NA,NA,31606.5047195029,31691.9282079673,0.00547635845945726,0.775601900981039,"Gamma(log)",14,-15789.2523597515,31606.6325733842,59.8200921251046,3.77659108702514e-15
"1553",4.0042909746473,"+",0.0686096765521443,NA,"+",0.0612872849651211,NA,NA,NA,NA,0.0168430750108393,NA,NA,NA,NA,-0.00623498939753201,NA,NA,31606.5407177638,31679.7608507332,0.00431755963343952,0.776901807410221,"Gamma(log)",12,-15791.2703588819,31606.6356371431,59.8231558840125,3.77081023364858e-15
"2720",3.98198279964923,"+",NA,NA,"+",0.0428415201742288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0458334583757209,31606.6145253472,31667.6313028218,0.00423028658188781,0.774583932452356,"Gamma(log)",10,-15793.3072626736,31606.6814149793,59.8689337202268,3.68548074221301e-15
"2696",3.98221268479786,"+",NA,NA,"+",0.042189052467582,NA,NA,NA,NA,NA,NA,0.0462250123408483,NA,NA,NA,NA,NA,31606.7130406715,31667.7298181461,0.00425040690619976,0.774397565107157,"Gamma(log)",10,-15793.3565203358,31606.7799303036,59.9674490444886,3.50834113348106e-15
"2852",4.01488233180772,"+",NA,NA,NA,0.0402022063127878,NA,NA,NA,NA,NA,NA,NA,NA,0.0577248014926317,NA,NA,NA,31606.887393426,31655.7008154056,0.00364653449882988,0.769237668945928,"Gamma(log)",8,-15795.443696713,31606.9311491233,60.1186678641934,3.25285770672417e-15
