"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(SelfR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","cond(InflowLR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"2630",5.71004715837558,"+",NA,0.069582727092137,NA,"+",-0.0795698497395606,NA,NA,NA,-0.25376481274044,NA,0.0065333992426026,NA,NA,NA,NA,NA,NA,45992.3992160166,46071.7210267335,0.0145273494136727,0.420544344531299,"Gamma(log)",13,-22983.1996080083,45992.5099889928,157.260423634973,3.20529076617085e-36
"1768",5.73795402788488,"+",0.261010806223917,NA,NA,"+",-0.123801506695161,-0.0647595934373433,NA,NA,NA,-0.0759685379678367,NA,NA,NA,NA,NA,NA,NA,45992.4076874329,46071.7294981498,0.018875921251431,0.409776010161347,"Gamma(log)",13,-22983.2038437165,45992.5184604092,157.268895051355,3.1917428026832e-36
"2533",5.70665618314142,"+",NA,0.055510343925152,NA,"+",NA,NA,NA,NA,-0.250492076449902,-0.0588160799368832,NA,NA,NA,NA,NA,-0.0296199558733869,NA,45992.443975361,46071.7657860779,0.0145964734089634,0.415643748706178,"Gamma(log)",13,-22983.2219876805,45992.5547483372,157.305182979391,3.13435413940672e-36
"2137",5.71289221733847,"+",NA,NA,NA,"+",-0.0644736844495197,-0.0656713940566613,NA,NA,-0.232555199660186,NA,NA,NA,NA,NA,NA,-0.0230817240256276,NA,45992.4670929571,46071.788903674,0.0142020814437637,0.408090234019922,"Gamma(log)",13,-22983.2335464786,45992.5778659334,157.328300575551,3.09833335234845e-36
"2018",5.71030350305285,"+",NA,0.0561543736873242,NA,"+",NA,-0.0643716524326315,NA,-0.0258247524735877,-0.252900330517084,NA,NA,NA,NA,NA,NA,NA,NA,45992.4831575061,46071.804968223,0.0148725983651447,0.403545916856508,"Gamma(log)",13,-22983.2415787531,45992.5939304824,157.344365124554,3.07354636955575e-36
"1259",5.7169078135841,"+",NA,NA,NA,"+",NA,-0.0650693459707015,NA,-0.0373451471237255,-0.249804549848905,-0.0651298970944943,0.0404464876207705,NA,NA,NA,NA,NA,NA,45992.5315948328,46077.9550832972,0.0145957830922193,0.403075678655587,"Gamma(log)",14,-22982.2657974164,45992.6594487141,157.409883356224,2.97449104873254e-36
"2171",5.71438534844162,"+",NA,NA,NA,"+",-0.0651989609460258,-0.0658033053836961,NA,-0.0188579512939425,-0.237739629944586,NA,NA,NA,NA,NA,NA,NA,NA,45992.5663932878,46071.8882040047,0.0143059911668005,0.407864528379224,"Gamma(log)",13,-22983.2831966439,45992.677166264,157.427600906194,2.94825707384217e-36
"3950",5.70852097525732,"+",NA,NA,NA,"+",NA,NA,0.0816823411491764,NA,-0.27896677760103,NA,NA,NA,NA,NA,NA,NA,NA,45992.61386563,46059.732320852,0.0135462481582556,0.407737474390653,"Gamma(log)",11,-22985.306932815,45992.6941576008,157.444592242915,2.92331575609791e-36
"1698",5.73171869510801,"+",0.255725424413172,0.0449145454472243,NA,NA,-0.133080502439593,-0.064322999375907,-0.0342404047033375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45992.6254570094,46059.7439122314,0.017735012975226,0.410375002709459,"Gamma(log)",11,-22985.3127285047,45992.7057489802,157.456183622358,2.90642212742011e-36
"2781",5.71483031791221,"+",0.253749259206382,NA,NA,NA,NA,-0.0647009241327243,NA,NA,NA,-0.0793276783894574,NA,NA,NA,-0.0872194612242997,NA,NA,NA,45992.6621748025,46053.6789522771,0.017003862489732,0.399600388558358,"Gamma(log)",10,-22986.3310874013,45992.7290644346,157.479499076791,2.87273658103332e-36
"2293",5.71638147559572,"+",0.265145082068144,0.0453047181533683,NA,NA,-0.124176310104213,NA,NA,NA,NA,NA,-0.0458572492838876,NA,NA,-0.049866100677085,NA,NA,NA,45992.7078240221,46059.8262792441,0.0180941071643835,0.421965408713022,"Gamma(log)",11,-22985.3539120111,45992.7881159929,157.538550635087,2.78915674684422e-36
"3223",5.71528164110741,"+",0.264962288049065,NA,NA,NA,-0.118091105549068,NA,NA,-0.0554197926913869,NA,NA,-0.0334764389899304,NA,NA,NA,NA,NA,NA,45992.7529122121,46053.7696896867,0.0174146965839627,0.420823187137869,"Gamma(log)",10,-22986.3764561061,45992.8198018442,157.57023648639,2.74531653942738e-36
"2105",5.71195860371662,"+",NA,NA,NA,NA,NA,-0.0656215656750152,NA,-0.0261992932291896,-0.223124282198088,-0.064346711362605,0.0333937945162821,NA,NA,NA,NA,NA,NA,45992.7909383246,46059.9093935466,0.0127477280229064,0.400938749606858,"Gamma(log)",11,-22985.3954691623,45992.8712302954,157.621664937535,2.67562275176331e-36
"4056",5.70622961525338,"+",NA,NA,NA,NA,NA,NA,NA,NA,-0.226949677233171,-0.0606320857669858,NA,NA,NA,NA,NA,NA,NA,45992.8306720772,46041.6440940569,0.0118618580571394,0.410110255894841,"Gamma(log)",8,-22988.4153360386,45992.8744277746,157.624862416735,2.67134854529734e-36
"2576",5.71032194965214,"+",NA,0.0556795603394778,NA,"+",NA,NA,NA,NA,-0.265585139120223,-0.0638587980321423,0.0227767585038012,NA,NA,NA,NA,NA,NA,45992.7690502252,46072.0908609421,0.0141599804826734,0.413087575776332,"Gamma(log)",13,-22983.3845251126,45992.8798232015,157.630257843659,2.66415172420993e-36
"2864",5.71071115426596,"+",NA,0.0537335865690904,NA,NA,NA,-0.0648536639596969,NA,NA,-0.219103776543201,NA,NA,NA,NA,NA,NA,-0.0236562053890112,NA,45992.8212782451,46053.8380557196,0.0128524381828796,0.401649951317169,"Gamma(log)",10,-22986.4106391226,45992.8881678772,157.638602519364,2.65305914022184e-36
"3989",5.71132407278596,"+",NA,NA,NA,NA,NA,-0.0648088449126626,NA,NA,-0.222749787301966,NA,NA,NA,NA,NA,NA,NA,NA,45992.8539800142,46041.6674019938,0.0119740209531432,0.397928950329319,"Gamma(log)",8,-22988.4269900071,45992.8977357115,157.648170353692,2.64039743548529e-36
"3990",5.71132407278596,"+",NA,NA,NA,NA,NA,-0.0648088449126626,NA,NA,-0.222749787301966,NA,NA,NA,NA,NA,NA,NA,NA,45992.8539800142,46041.6674019938,0.0119740209531432,0.397928950329319,"Gamma(log)",8,-22988.4269900071,45992.8977357115,157.648170353692,2.64039743548529e-36
