"","X","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","Indegree","ModelMode","btwdegree","Inflow","Outdegree","InflowLR","SelfR","Larval_behaviour","FE","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR"
"592",592,"V14110","western_indian","seychelles","seychelles_5",26.70022396,100.754,1.394087107,1,"Closed",346.0214262,11,"pare15",5723.43866686197,81,9,81,0,"active","pare",0,0,0,0,0,0,0,0
"593",593,"V14115","western_indian","seychelles","seychelles_3",26.84248024,99.292,1.330337611,1,"Closed",247.2018351,15,"pare15",20.0933577407862,111,11,111,0,"active","pare",0,0,0,0,0,0,0,0
"594",594,"V14159","western_indian","seychelles","seychelles_2",27.87567296,131,193.9620366,0,"Fished",356.4425464,12,"pare15",220.637943213702,174,33,189,15,"active","pare",0,0,0,0,0,0,0,0
"595",595,"V14354","western_indian","tanzania","tanzania_1",27.53677102,153.786,323.1467077,0,"Fished",82.05010158,27,"pare15",1448.67107277752,606,60,612,6,"active","pare",0,0,0,0,0,0,0,0
"596",596,"V1623","central_iwp","solomon","solomon_15",29.30765815,74.8,1.002338702,21,"Closed",223.0013971,117,"pare15",36501.141826632,1077,49,1080,3,"active","pare",0,0,0,0,0,0,0,0
"597",597,"V1651","central_iwp","solomon","solomon_6",29.35546484,56,5.888259532,0,"Fished",39.40542105,99,"pare15",34164.7358566274,891,84,894,3,"active","pare",0,0,0,0,0,0,0,0
"598",598,"V1653","central_iwp","solomon","solomon_5",29.34720635,64.9,2.497625831,0,"Fished",274.5734278,92,"pare15",6849.38467503997,1077,79,1083,6,"active","pare",0,0,0,0,0,0,0,0
"599",599,"V1663","central_iwp","solomon","solomon_1",29.28295663,114.533,5.436542038,0,"Fished",90.60664678,32,"pare15",4967.49710851296,312,72,324,12,"active","pare",0,0,0,0,0,0,0,0
"600",600,"V1670","central_iwp","solomon","solomon_37",29.21634929,121.4,5.760687038,0,"Fished",99.99455815,38,"pare15",9525.78418147873,471,72,591,120,"active","pare",0,0,0,0,0,0,0,0
"601",601,"V1675","central_iwp","solomon","solomon_30",29.16495829,111.778,10.4780996,0,"Fished",193.4754165,43,"pare15",22399.8969059127,447,68,447,0,"active","pare",0,0,0,0,0,0,0,0
"602",602,"V1729","central_iwp","solomon","solomon_42",29.25464887,59.4,14.62806253,0,"Fished",49.06125629,0,"pare15",0,0,0,0,0,"active","pare",0,0,0,0,0,0,0,0
"603",603,"V1735","central_iwp","solomon","solomon_41",29.30085093,109.163,12.24440375,0,"Fished",47.10497694,67,"pare15",20552.1911325722,561,18,567,6,"active","pare",0,0,0,0,0,0,0,0
"604",604,"V1747","central_iwp","solomon","solomon_17",29.35013076,124.581,20.50000068,0,"Fished",214.771615,44,"pare15",2193.21247782549,351,67,354,3,"active","pare",0,0,0,0,0,0,0,0
"605",605,"V1782","central_iwp","solomon","solomon_31",29.09292379,80.3,8.85182226,0,"Fished",146.1456516,13,"pare15",3839.88709627075,66,18,66,0,"active","pare",0,0,0,0,0,0,0,0
"606",606,"V1822","central_iwp","solomon","solomon_18",29.38797852,126.156,3.813107818,0,"Fished",100.681213,181,"pare15",401743.8770999,2001,80,2040,39,"active","pare",0,0,0,0,0,0,0,0
"607",607,"V1823","central_iwp","solomon","solomon_7",29.36747743,75.9,19.26737234,0,"Fished",261.5467082,196,"pare15",300818.623096605,2331,80,2367,36,"active","pare",0,0,0,0,0,0,0,0
"608",608,"V1864","central_iwp","solomon","solomon_11",29.30259518,120.352,1.39290354,0,"Fished",344.8031119,67,"pare15",22894.7905134187,948,60,948,0,"active","pare",0,0,0,0,0,0,0,0
"609",609,"V1875","central_iwp","solomon","solomon_12",29.2849747,132.91,12.81812821,24,"Closed",334.787737,79,"pare15",4661.71959861511,555,76,555,0,"active","pare",0,0,0,0,0,0,0,0
"610",610,"V1880","central_iwp","solomon","solomon_10",29.31478029,133.432,4.580460162,12,"Fished",50.45989006,67,"pare15",9834.1916186819,738,70,738,0,"active","pare",0,0,0,0,0,0,0,0
"611",611,"V190","central_iwp","aceh","aceh_2",28.93665872,155.157,450.3657373,0,"Fished",86.56011682,30,"pare15",3782.12234810287,1722,48,1758,36,"active","pare",0,0,0,0,0,0,0,0
"612",612,"V1901","central_iwp","solomon","solomon_8",29.36426549,88.884,1.644818785,0,"Fished",64.80812435,72,"pare15",875.013616858923,1713,69,1746,33,"active","pare",0,0,0,0,0,0,0,0
"613",613,"V1917","central_iwp","solomon","solomon_21",29.36725016,171.429,4.114091201,21,"Closed",529.2527502,107,"pare15",1340.57855319319,10473,72,10872,399,"active","pare",0,0,0,0,0,0,0,0
"614",614,"V1919","central_iwp","solomon","solomon_3",29.32487338,80.888,3.753540451,0,"Fished",59.0050427,93,"pare15",931.95571013768,2076,49,2103,27,"active","pare",0,0,0,0,0,0,0,0
"615",615,"V1929","central_iwp","solomon","solomon_25",29.34697635,71.6,35.56657712,0,"Fished",145.7012041,60,"pare15",5760.24609240348,1167,40,1242,75,"active","pare",0,0,0,0,0,0,0,0
"616",616,"V193","central_iwp","aceh","aceh_5",28.9640574,106.6,379.9162581,0,"Fished",126.9153394,13,"pare15",11374.9010993461,111,80,123,12,"active","pare",0,0,0,0,0,0,0,0
"617",617,"V1938","central_iwp","solomon","solomon_39",29.24609738,110.508,72.61468967,0,"Fished",116.2858683,50,"pare15",1907.57501311834,1353,36,1473,120,"active","pare",0,0,0,0,0,0,0,0
"618",618,"V194","central_iwp","aceh","aceh_1",28.91175731,138.258,131.2382199,36,"Closed",453.732283,16,"pare15",27407.2944928825,189,69,213,24,"active","pare",0,0,0,0,0,0,0,0
"619",619,"V2718","offshore_tep","galapagos","galapagos_6",24.29601533,35.495,0.268098073,21,"Restricted",183.7046932,0,"pare15",0,0,3,0,0,"active","pare",0,0,0,0,0,0,0,0
"620",620,"V2720","offshore_tep","galapagos","galapagos_7",23.75558272,49.897,0.251718396,21,"Restricted",552.266912,0,"pare15",0,0,1,0,0,"active","pare",0,0,0,0,0,0,0,0
"621",621,"V2725","offshore_tep","galapagos","galapagos_8",23.73613035,36.55,0.196488391,21,"Restricted",203.1917289,1,"pare15",0,0,1,36,36,"active","pare",0,0,0,0,0,0,0,0
"622",622,"V2729","offshore_tep","galapagos","galapagos_9",23.90043212,47.673,0.548783763,21,"Restricted",303.9409176,1,"pare15",0,60,17,60,0,"active","pare",0,0,0,0,0,0,0,0
"623",623,"V2732","offshore_tep","galapagos","galapagos_10",25.48904106,34.561,0.014319231,21,"Restricted",258.5368862,13,"pare15",21.2204345309458,102,6,102,0,"active","pare",0,0,0,0,0,0,0,0
"624",624,"V2733","offshore_tep","galapagos","galapagos_11",25.83872891,43.089,0.011239473,21,"Restricted",381.9061842,22,"pare15",106.287520568285,246,5,249,3,"active","pare",0,0,0,0,0,0,0,0
"625",625,"V2734","offshore_tep","galapagos","galapagos_5",23.77992005,31.315,0.040760519,21,"Restricted",159.5632964,11,"pare15",22.3659893746487,75,7,75,0,"active","pare",0,0,0,0,0,0,0,0
"626",626,"V2735","eastern_atlantic","stome","stome_3",27.20654923,31.763,50.98759892,0,"Fished",55.67507126,7,"pare15",0,45,8,45,0,"active","pare",0,0,0,0,0,0,0,0
"627",627,"V2738","hawaiian","hawaii","hawaii_6",25.02577162,60.884,18.57116427,0,"Fished",68.25257835,17,"pare15",152.225383328119,111,8,111,0,"active","pare",0,0,0,0,0,0,0,0
"628",628,"V2877","hawaiian","hawaii","hawaii_12",24.9570668,67,8140.402653,0,"Fished",84.16284667,1,"pare15",0,60,16,60,0,"active","pare",0,0,0,0,0,0,0,0
"629",629,"V2887","hawaiian","hawaii","hawaii_7",24.69258706,72.195,1355.044583,0,"Fished",68.83592228,0,"pare15",0,0,16,0,0,"active","pare",0,0,0,0,0,0,0,0
"630",630,"V2895","hawaiian","hawaii","hawaii_11",24.7334496,65.655,557.5603609,36,"Restricted",88.68727268,1,"pare15",1,3,1,3,0,"active","pare",0,0,0,0,0,0,0,0
"631",631,"V2909","central_iwp","christmas_island","christmas_island_2",27.73467077,165.661,10.22965783,39,"Restricted",298.9445391,33,"pare15",94300.3307419752,492,34,576,84,"active","pare",0,0,0,0,0,0,0,0
"632",632,"V2985","sw_pacific","lord_howe_island","lord_howe_island_2",21.30228868,65.364,0.010341511,20,"Closed",493.6841296,4,"pare15",180.196455673688,18,3,18,0,"active","pare",0,0,0,0,0,0,0,0
"633",633,"V2986","sw_pacific","norfolk_island","norfolk_island_2",21.39241737,24.727,2.400597482,7,"Restricted",64.85770094,4,"pare15",1629.08485639205,36,5,36,0,"active","pare",0,0,0,0,0,0,0,0
"634",634,"V2987","sw_pacific","elizabeth_and_middleton_reefs","elizabeth_and_middleton_reefs_1",22.09420541,118.391,0.000199943,7,"Closed",324.4118249,5,"pare15",9.66666666666667,39,6,42,3,"active","pare",0,0,0,0,0,0,0,0
"635",635,"V2988","sw_pacific","elizabeth_and_middleton_reefs","elizabeth_and_middleton_reefs_2",22.00430401,124.246,0.000333726,7,"Closed",334.29606,0,"pare15",0,0,0,0,0,"active","pare",0,0,0,0,0,0,0,0
"636",636,"V2989","sw_pacific","lord_howe_island","lord_howe_island_1",21.3805198,99.387,0.087158128,20,"Closed",191.0996738,4,"pare15",403.703165224349,36,7,36,0,"active","pare",0,0,0,0,0,0,0,0
"637",637,"V2995","polynesian","marquesas_islands","marquesas_islands_2",27.78124254,51.667,0.356121627,0,"Fished",641.3419127,7,"pare15",6183.66907339947,87,9,87,0,"active","pare",0,0,0,0,0,0,0,0
"638",638,"V3226","central_pacific","ailuk_atoll","ailuk_atoll_3",27.9030443,154.713,0.916308183,9,"Closed",451.9924885,0,"pare15",0,0,5,0,0,"active","pare",0,0,0,0,0,0,0,0
"639",639,"V3392","sw_pacific","queensland_(other)","queensland_(other)_9",27.74529785,38.5,0.651674955,7,"Closed",562.2602086,93,"pare15",13082.4412693826,2325,55,2325,0,"active","pare",0,0,0,0,0,0,0,0
"640",640,"V3439","sw_pacific","queensland_(other)","queensland_(other)_15",27.35516915,76.333,1.284305843,0,"Fished",643.8923576,157,"pare15",168543.484858436,2853,142,2853,0,"active","pare",0,0,0,0,0,0,0,0
"641",641,"V3448","sw_pacific","central_gbr","central_gbr_26",26.51169711,151.963,13.60789281,15,"Closed",434.2453149,70,"pare15",2351.48829569838,1554,55,1554,0,"active","pare",0,0,0,0,0,0,0,0
"642",642,"V3648","sw_pacific","northern_gbr","northern_gbr_8",26.87207771,122.004,0.168680305,15,"Closed",660.6724257,33,"pare15",5164.76725712898,390,113,435,45,"active","pare",0,0,0,0,0,0,0,0
"643",643,"V3681","sw_pacific","northern_gbr","northern_gbr_13",26.83581813,160.333,0.280553342,15,"Restricted",659.6762411,45,"pare15",89164.4292139717,300,93,300,0,"active","pare",0,0,0,0,0,0,0,0
"644",644,"V3707","sw_pacific","northern_gbr","northern_gbr_12",26.81103994,80.5,0.202880157,15,"Restricted",262.7460206,39,"pare15",70549.6464805383,357,128,357,0,"active","pare",0,0,0,0,0,0,0,0
"645",645,"V3771","sw_pacific","northern_gbr","northern_gbr_2",26.94042107,88.219,0.553697966,15,"Restricted",407.6343242,36,"pare15",18023.9085951562,387,119,387,0,"active","pare",0,0,0,0,0,0,0,0
"646",646,"V3773","sw_pacific","northern_gbr","northern_gbr_6",26.711259,186.31,0.511824979,15,"Restricted",783.3204859,67,"pare15",15875.9585188067,999,88,999,0,"active","pare",0,0,0,0,0,0,0,0
"647",647,"V3773","sw_pacific","northern_gbr","northern_gbr_7",26.74504322,184,0.521713361,15,"Restricted",462.3644274,67,"pare15",15875.9585188067,999,88,999,0,"active","pare",0,0,0,0,0,0,0,0
"648",648,"V3831","sw_pacific","northern_gbr","northern_gbr_1",26.66396436,185.384,0.66171948,19,"Restricted",384.2680544,60,"pare15",64565.5212102256,456,142,456,0,"active","pare",0,0,0,0,0,0,0,0
"649",649,"V3922","sw_pacific","central_gbr","central_gbr_27",26.54714343,122,4.321748627,15,"Restricted",213.4556524,75,"pare15",709.050061741888,1251,60,1251,0,"active","pare",0,0,0,0,0,0,0,0
"650",650,"V3928","sw_pacific","central_gbr","central_gbr_7",26.61292931,138.982,2.628967975,15,"Closed",146.3016712,165,"pare15",496264.984118654,1596,83,1626,30,"active","pare",0,0,0,0,0,0,0,0
"651",651,"V3971","sw_pacific","queensland_(other)","queensland_(other)_19",27.31858919,132.667,0.847466041,0,"Fished",815.8474078,31,"pare15",2866.04419437445,228,103,231,3,"active","pare",0,0,0,0,0,0,0,0
"652",652,"V3976","sw_pacific","northern_coral_sea","northern_coral_sea_4",27.15282523,167.119,0.994734012,7,"Restricted",811.7306375,28,"pare15",3889.62700187188,237,99,237,0,"active","pare",0,0,0,0,0,0,0,0
"653",653,"V3979","sw_pacific","northern_coral_sea","northern_coral_sea_10",27.14684497,186.911,1.037367592,7,"Restricted",946.8460724,89,"pare15",48199.3957938738,687,87,687,0,"active","pare",0,0,0,0,0,0,0,0
"654",654,"V3979","sw_pacific","northern_coral_sea","northern_coral_sea_7",27.17619328,156.267,1.163168594,7,"Restricted",624.3607264,89,"pare15",48199.3957938738,687,87,687,0,"active","pare",0,0,0,0,0,0,0,0
"655",655,"V3980","sw_pacific","northern_coral_sea","northern_coral_sea_3",27.14855087,171.014,0.930257788,7,"Restricted",600.6081732,139,"pare15",5955.72653264801,4557,66,4578,21,"active","pare",0,0,0,0,0,0,0,0
"656",656,"V3981","sw_pacific","northern_coral_sea","northern_coral_sea_6",27.1883592,203.211,1.159310673,7,"Restricted",939.4397659,104,"pare15",25563.924722224,1899,76,1899,0,"active","pare",0,0,0,0,0,0,0,0
"657",657,"V4043","sw_pacific","queensland_(other)","queensland_(other)_17",27.1767765,206.167,1.226788768,0,"Fished",560.0045611,150,"pare15",1006.06822740498,3357,50,3435,78,"active","pare",0,0,0,0,0,0,0,0
"658",658,"V4044","sw_pacific","queensland_(other)","queensland_(other)_18",27.18604539,183.576,1.04806209,0,"Fished",613.000814,57,"pare15",1887.31747828631,585,89,585,0,"active","pare",0,0,0,0,0,0,0,0
"659",659,"V4049","sw_pacific","queensland_(other)","queensland_(other)_16",27.18128636,194.35,1.247758104,0,"Fished",1003.516175,31,"pare15",1063.96469345752,396,90,396,0,"active","pare",0,0,0,0,0,0,0,0
"660",660,"V4181","sw_pacific","central_gbr","central_gbr_20",26.23464071,142.048,2.843159731,15,"Restricted",153.1607444,160,"pare15",28269.4934431145,1782,70,1803,21,"active","pare",0,0,0,0,0,0,0,0
"661",661,"V4342","sw_pacific","whitsundays","whitsundays_2",25.67532799,102.743,2.346484256,15,"Closed",423.0430407,208,"pare15",37851.7822725123,2283,172,2283,0,"active","pare",0,0,0,0,0,0,0,0
"662",662,"V4343","sw_pacific","central_gbr","central_gbr_21",25.6795832,152.018,2.434943659,15,"Closed",894.643504,56,"pare15",1407.16151901657,375,121,375,0,"active","pare",0,0,0,0,0,0,0,0
"663",663,"V4488","sw_pacific","central_gbr","central_gbr_9",26.28109472,57.867,6.667953172,15,"Closed",148.176814,6,"pare15",2157.20738945712,18,75,18,0,"active","pare",0,0,0,0,0,0,0,0
"664",664,"V4552","sw_pacific","queensland_(other)","queensland_(other)_1",25.04411775,120.226,0.762055417,15,"Restricted",225.7904506,78,"pare15",10523.0616722959,774,72,774,0,"active","pare",0,0,0,0,0,0,0,0
"665",665,"V4579","sw_pacific","capricorn_group","capricorn_group_8",24.55463253,109.786,3.261797926,15,"Closed",540.8430757,53,"pare15",4211.83810413845,786,41,786,0,"active","pare",0,0,0,0,0,0,0,0
"666",666,"V4582","sw_pacific","capricorn_group","capricorn_group_6",24.43738718,123.321,4.218634727,15,"Restricted",312.677658,67,"pare15",12850.2667572584,999,18,1005,6,"active","pare",0,0,0,0,0,0,0,0
"667",667,"V4594","sw_pacific","capricorn_group","capricorn_group_4",24.28291566,130.171,6.779172882,15,"Restricted",268.5863302,77,"pare15",4505.04799542984,1812,56,1812,0,"active","pare",0,0,0,0,0,0,0,0
"668",668,"V4620","sw_pacific","capricorn_group","capricorn_group_2",24.5154978,150.019,7.461503311,15,"Closed",241.3003285,41,"pare15",1705.53207402933,480,58,480,0,"active","pare",0,0,0,0,0,0,0,0
"669",669,"V4912","sw_pacific","central_gbr","central_gbr_2",26.5672119,146.589,7.410903311,15,"Closed",337.0801062,89,"pare15",71665.4271349019,1065,145,1065,0,"active","pare",0,0,0,0,0,0,0,0
"670",670,"V4918","sw_pacific","central_gbr","central_gbr_3",26.51465166,169.128,6.858620512,15,"Restricted",440.9014478,251,"pare15",8262.65103704192,3528,127,3528,0,"active","pare",0,0,0,0,0,0,0,0
"671",671,"V4921","sw_pacific","central_gbr","central_gbr_5",26.58228857,182.246,5.027961459,15,"Restricted",803.1217673,123,"pare15",32846.5226339175,951,166,957,6,"active","pare",0,0,0,0,0,0,0,0
"672",672,"V4922","sw_pacific","central_gbr","central_gbr_24",26.46488439,145,5.169381462,15,"Closed",1250.382857,265,"pare15",41042.685008346,4905,114,4905,0,"active","pare",0,0,0,0,0,0,0,0
"673",673,"V4957","sw_pacific","central_gbr","central_gbr_11",26.40171901,88,5.584992654,15,"Restricted",734.7927889,123,"pare15",2511.26961391733,1236,131,1239,3,"active","pare",0,0,0,0,0,0,0,0
"674",674,"V4994","sw_pacific","central_gbr","central_gbr_18",26.38260346,147.565,1.947964267,15,"Closed",85.84672413,102,"pare15",4181.49067743519,642,155,648,6,"active","pare",0,0,0,0,0,0,0,0
"675",675,"V5037","sw_pacific","central_gbr","central_gbr_19",26.45829897,153.167,1.770948976,15,"Closed",91.16645409,475,"pare15",126697.107287888,15828,68,15858,30,"active","pare",0,0,0,0,0,0,0,0
"676",676,"V5064","sw_pacific","central_gbr","central_gbr_13",25.54306077,117.945,19.4375289,15,"Restricted",452.9310057,89,"pare15",32581.8137869551,1128,166,1128,0,"active","pare",0,0,0,0,0,0,0,0
"677",677,"V5074","sw_pacific","central_gbr","central_gbr_1",26.46935317,119.393,12.60558979,15,"Restricted",158.5178339,0,"pare15",0,0,0,0,0,"active","pare",0,0,0,0,0,0,0,0
"678",678,"V5088","sw_pacific","southern_coral_sea","southern_coral_sea_6",25.68883292,143.739,0.294881999,7,"Closed",239.8638264,26,"pare15",4838.53419548548,237,34,240,3,"active","pare",0,0,0,0,0,0,0,0
"679",679,"V5092","central_iwp","north_west_shelf","north_west_shelf_14",27.04413685,56.786,0.232631494,0,"Fished",756.0893979,23,"pare15",8931.78611246645,162,34,165,3,"active","pare",0,0,0,0,0,0,0,0
"680",680,"V5093","central_iwp","north_west_shelf","north_west_shelf_15",26.81515549,35.951,2.403824183,0,"Fished",151.6270856,30,"pare15",4126.07834869794,387,28,390,3,"active","pare",0,0,0,0,0,0,0,0
"681",681,"V5094","central_iwp","north_west_shelf","north_west_shelf_29",26.03515002,92.467,0.46444822,8,"Restricted",1026.654349,9,"pare15",46411.9257834377,66,12,66,0,"active","pare",0,0,0,0,0,0,0,0
"682",682,"V5096","central_iwp","north_west_shelf","north_west_shelf_3",28.60022115,164.549,3.418996678,0,"Fished",279.2302203,10,"pare15",239944.243952973,132,15,135,3,"active","pare",0,0,0,0,0,0,0,0
"683",683,"V5113","central_iwp","north_west_shelf","north_west_shelf_4",28.61884383,159.142,2.633623586,15,"Closed",244.1789467,44,"pare15",469933.816206028,981,5,984,3,"active","pare",0,0,0,0,0,0,0,0
"684",684,"V5125","central_iwp","north_west_shelf","north_west_shelf_7",28.66387943,179.999,0.083356792,0,"Fished",1120.488696,21,"pare15",93502.2312613208,255,18,276,21,"active","pare",0,0,0,0,0,0,0,0
"685",685,"V5133","central_iwp","north_west_shelf","north_west_shelf_6",28.67226663,172.856,0.085699037,0,"Fished",883.4687268,65,"pare15",323632.141654419,825,24,831,6,"active","pare",0,0,0,0,0,0,0,0
"686",686,"V5170","central_iwp","north_west_shelf","north_west_shelf_12",27.86935863,141,0.033512591,8,"Closed",1135.330832,2,"pare15",29,24,8,24,0,"active","pare",0,0,0,0,0,0,0,0
"687",687,"V5172","central_iwp","north_west_shelf","north_west_shelf_13",27.86935863,150.091,0.03318512,8,"Closed",718.5532704,12,"pare15",0,228,2,228,0,"active","pare",0,0,0,0,0,0,0,0
"688",688,"V5176","central_iwp","north_west_shelf","north_west_shelf_9",27.75676007,68.667,0.033225845,8,"Closed",657.5056165,6,"pare15",1.08333333333333,114,16,117,3,"active","pare",0,0,0,0,0,0,0,0
"689",689,"V5177","central_iwp","north_west_shelf","north_west_shelf_8",27.73864672,149.26,0.034434825,8,"Closed",681.0409077,15,"pare15",0,198,0,198,0,"active","pare",0,0,0,0,0,0,0,0
"690",690,"V5178","central_iwp","north_west_shelf","north_west_shelf_11",27.9587699,155.303,0.028153337,7,"Restricted",825.9482923,13,"pare15",0,156,0,156,0,"active","pare",0,0,0,0,0,0,0,0
"691",691,"V5179","central_iwp","north_west_shelf","north_west_shelf_10",27.94065655,134.518,0.029268342,7,"Restricted",416.0426107,3,"pare15",45.3333333333333,12,20,39,27,"active","pare",0,0,0,0,0,0,0,0
"692",692,"V5181","central_iwp","north_west_shelf","north_west_shelf_25",26.28122888,132.545,0.168201547,8,"Closed",539.5973887,3,"pare15",202,72,19,72,0,"active","pare",0,0,0,0,0,0,0,0
"693",693,"V5192","central_iwp","north_west_shelf","north_west_shelf_27",26.17470096,106.343,0.287284105,8,"Restricted",710.9825378,0,"pare15",0,0,6,0,0,"active","pare",0,0,0,0,0,0,0,0
"694",694,"V5195","central_iwp","north_west_shelf","north_west_shelf_31",25.94902735,60.063,0.239803797,0,"Fished",660.8353122,4,"pare15",131.5,21,1,21,0,"active","pare",0,0,0,0,0,0,0,0
"695",695,"V5197","central_iwp","ningaloo_marine_park","ningaloo_marine_park_6",25.70620149,95.167,0.425913702,14,"Closed",1013.202175,5,"pare15",157.3,39,9,42,3,"active","pare",0,0,0,0,0,0,0,0
"696",696,"V5208","central_iwp","ningaloo_marine_park","ningaloo_marine_park_1",25.59902188,98.467,1.401245511,14,"Closed",220.3541817,12,"pare15",560.646951731555,228,20,231,3,"active","pare",0,0,0,0,0,0,0,0
"697",697,"V5210","central_iwp","ningaloo_marine_park","ningaloo_marine_park_3",24.79102354,124.052,0.435877297,14,"Closed",376.3201712,18,"pare15",546.784250471751,333,16,399,66,"active","pare",0,0,0,0,0,0,0,0
"698",698,"V5211","central_iwp","ningaloo_marine_park","ningaloo_marine_park_8",24.98163144,109.148,0.460141554,14,"Closed",356.3856899,15,"pare15",2283.04463198326,312,6,372,60,"active","pare",0,0,0,0,0,0,0,0
"699",699,"V5217","central_iwp","ningaloo_marine_park","ningaloo_marine_park_4",24.7006621,125.881,0.350636172,14,"Closed",356.9137785,7,"pare15",61.387219449415,222,14,267,45,"active","pare",0,0,0,0,0,0,0,0
"700",700,"V5409","nw_indian","red_sea","red_sea_2",26.98606731,71.8,20.54806121,24,"Restricted",637.5681168,42,"pare15",1372.72830084424,462,36,471,9,"active","pare",0,0,0,0,0,0,0,0
"701",701,"V5692","central_iwp","northern_territory_(other)","northern_territory_(other)_8",28.23648623,34.667,0.260945837,7,"Restricted",335.962163,1,"pare15",8,3,3,3,0,"active","pare",0,0,0,0,0,0,0,0
"702",702,"V5694","central_iwp","mornington_island","mornington_island_4",27.60939698,55.5,0.070860711,7,"Fished",820.1030754,7,"pare15",7481.25,174,5,276,102,"active","pare",0,0,0,0,0,0,0,0
"703",703,"V5695","central_iwp","mornington_island","mornington_island_5",27.72035261,72.333,0.065993185,7,"Fished",1046.718623,10,"pare15",49742.5056958128,408,7,423,15,"active","pare",0,0,0,0,0,0,0,0
"704",704,"V5696","central_iwp","northern_territory_(other)","northern_territory_(other)_3",28.27031699,89.286,0.206297319,7,"Restricted",399.3058778,7,"pare15",5003.33333333333,249,7,321,72,"active","pare",0,0,0,0,0,0,0,0
"705",705,"V5697","central_iwp","northern_territory_(other)","northern_territory_(other)_6",28.21870967,48.833,0.217901404,7,"Restricted",964.6663913,6,"pare15",4999.33333333333,141,6,192,51,"active","pare",0,0,0,0,0,0,0,0
"706",706,"V5698","central_iwp","northern_territory_(other)","northern_territory_(other)_11",27.98714067,53.339,0.079158209,7,"Restricted",1022.950661,5,"pare15",6,111,5,258,147,"active","pare",0,0,0,0,0,0,0,0
"707",707,"V5699","sw_pacific","queensland_(other)","queensland_(other)_7",27.95772663,55,0.036680504,7,"Restricted",1942.652461,13,"pare15",0,1101,2,1185,84,"active","pare",0,0,0,0,0,0,0,0
"708",708,"V5714","central_iwp","northern_territory_(other)","northern_territory_(other)_2",27.98816476,61.267,0.054567666,0,"Fished",184.1976305,104,"pare15",1376.14193022502,3804,52,3804,0,"active","pare",0,0,0,0,0,0,0,0
"709",709,"V5746","central_iwp","offshore_shoals","offshore_shoals_3",28.65667515,81,0.585523105,7,"Restricted",2056.704848,20,"pare15",1911.02965277424,315,5,315,0,"active","pare",0,0,0,0,0,0,0,0
"710",710,"V5747","central_iwp","offshore_shoals","offshore_shoals_4",28.61584548,33.167,0.565093024,7,"Restricted",90.8275952,24,"pare15",21831.4814072598,255,7,255,0,"active","pare",0,0,0,0,0,0,0,0
"711",711,"V5748","central_iwp","offshore_shoals","offshore_shoals_5",28.55396979,98,1.725607131,0,"Fished",363.3207902,33,"pare15",33622.7302362515,741,9,741,0,"active","pare",0,0,0,0,0,0,0,0
"712",712,"V5853","sw_pacific","northern_coral_sea","northern_coral_sea_5",27.23107827,198.33,1.320566488,7,"Restricted",672.1719977,177,"pare15",42512.0545158302,2397,94,2397,0,"active","pare",0,0,0,0,0,0,0,0
"713",713,"V5853","sw_pacific","northern_coral_sea","northern_coral_sea_9",27.24699283,207.223,1.40162691,7,"Restricted",1432.005407,177,"pare15",42512.0545158302,2397,94,2397,0,"active","pare",0,0,0,0,0,0,0,0
"714",714,"V6483","central_iwp","okinawa","okinawa_2",25.09366317,160,1854.451392,0,"Fished",154.6092662,33,"pare15",2956.32043252518,420,35,456,36,"active","pare",0,0,0,0,0,0,0,0
"715",715,"V6583","polynesian","french_polynesia","french_polynesia_6",27.51141777,63.71,3.470567723,0,"Fished",43.04500342,49,"pare15",2316.5374113066,666,38,666,0,"active","pare",0,0,0,0,0,0,0,0
"716",716,"V6588","polynesian","french_polynesia","french_polynesia_4",27.742357,69.454,0.263461038,0,"Fished",85.79922232,25,"pare15",143.956916683355,399,16,399,0,"active","pare",0,0,0,0,0,0,0,0
"717",717,"V6589","polynesian","french_polynesia","french_polynesia_20",27.73077706,155,0.508200566,0,"Fished",1372.443745,33,"pare15",271.962685587982,654,14,654,0,"active","pare",0,0,0,0,0,0,0,0
"718",718,"V6589","polynesian","society_islands","society_islands_2",27.73034715,146.454,0.678771699,0,"Fished",434.6057356,33,"pare15",271.962685587982,654,14,654,0,"active","pare",0,0,0,0,0,0,0,0
"719",719,"V6641","polynesian","french_polynesia","french_polynesia_19",27.64300048,138,0.225795399,0,"Fished",1133.882809,21,"pare15",715.026166685329,546,48,546,0,"active","pare",0,0,0,0,0,0,0,0
"720",720,"V6763","polynesian","french_polynesia","french_polynesia_21",27.77064014,122,0.522462543,0,"Fished",1013.362056,30,"pare15",249.516395390663,417,12,417,0,"active","pare",0,0,0,0,0,0,0,0
"721",721,"V6763","polynesian","society_islands","society_islands_1",27.77064014,136.109,0.748946292,0,"Fished",574.6965118,30,"pare15",249.516395390663,417,12,417,0,"active","pare",0,0,0,0,0,0,0,0
"722",722,"V6853","polynesian","french_polynesia","french_polynesia_2",27.35614122,44.401,0.37221638,0,"Fished",93.220904,46,"pare15",7678.55750501625,597,45,600,3,"active","pare",0,0,0,0,0,0,0,0
