"","X","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","Indegree","ModelMode","btwdegree","Inflow","Outdegree","InflowLR","SelfR","Larval_behaviour","FE","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR"
"22",22,"V1173","central_pacific","rose_atoll","rose_atoll_1",28.17118226,106.679,0.240674063,10,"Restricted",271.1308743,5,"pare",922.390630217993,130,15,130,0,"passive","pare",0,0,0,0,0,0,0,0
"23",23,"V1174","central_pacific","samoa","samoa_2",28.26368228,59.1,9.619699536,0,"Fished",52.92180559,7,"pare",650.835076690866,196,15,196,0,"passive","pare",0,0,0,0,0,0,0,0
"24",24,"V1175","central_pacific","samoa","samoa_8",28.25949554,54.5,1211.681489,0,"Fished",75.44278217,13,"pare",15787.0593838167,376,17,376,0,"passive","pare",0,0,0,0,0,0,0,0
"25",25,"V1176","central_pacific","samoa","samoa_3",28.28596323,118.779,1.221461016,0,"Fished",225.0891548,7,"pare",55221.6098302325,170,24,220,50,"passive","pare",0,0,0,0,0,0,0,0
"26",26,"V1177","central_pacific","samoa","samoa_1",28.26298679,99.824,10.47139258,0,"Fished",42.78363041,11,"pare",68151.7573350192,304,22,304,0,"passive","pare",0,0,0,0,0,0,0,0
"27",27,"V1182","central_pacific","samoa","samoa_7",28.40360835,100.877,980.1064202,0,"Fished",75.35971589,25,"pare",1367.16049122117,716,30,716,0,"passive","pare",0,0,0,0,0,0,0,0
"28",28,"V12232","central_iwp","flores","flores_1",28.88005412,208.533,35.68614418,0,"Fished",172.8366949,52,"pare",17477.881182079,1372,87,1398,26,"passive","pare",0,0,0,0,0,0,0,0
"29",29,"V1271","easter","salaz_y_gomez","salaz_y_gomez_1",22.36693817,23.212,0.002425095,9,"Closed",189.613369,59,"pare",16243.1455762447,1572,74,1572,0,"passive","pare",0,0,0,0,0,0,0,0
"30",30,"V1272","easter","rapa_nui","rapa_nui_4",22.63233521,17.655,53.25406974,1,"Restricted",24.00467111,92,"pare",988913.831091893,2484,66,2484,0,"passive","pare",0,0,0,0,0,0,0,0
"31",31,"V1272","easter","rapa_nui","rapa_nui_1",22.66947101,22.769,102.6973812,1,"Restricted",61.09723571,92,"pare",988913.831091893,2484,66,2484,0,"passive","pare",0,0,0,0,0,0,0,0
"32",32,"V1273","easter","rapa_nui","rapa_nui_2",22.65680124,21.543,7.845622948,1,"Restricted",62.23944474,51,"pare",42080.8989504712,1376,58,1376,0,"passive","pare",0,0,0,0,0,0,0,0
"33",33,"V1274","easter","rapa_nui","rapa_nui_3",22.64377003,23.106,2484.81206,1,"Restricted",56.36786252,51,"pare",4409.23916091516,1414,66,1414,0,"passive","pare",0,0,0,0,0,0,0,0
"34",34,"V13472","central_iwp","raja_ampat","raja_ampat_9",28.85529236,94.032,3.609582136,10,"Restricted",180.3951412,47,"pare",547911.61665548,1248,127,1248,0,"passive","pare",0,0,0,0,0,0,0,0
"35",35,"V13486","central_iwp","raja_ampat","raja_ampat_3",28.83803334,81.982,4.84776921,10,"Restricted",81.94873486,164,"pare",21650.3297906007,5030,111,5060,30,"passive","pare",0,0,0,0,0,0,0,0
"36",36,"V13486","central_iwp","raja_ampat","raja_ampat_3",28.83803334,81.982,4.84776921,10,"Restricted",81.94873486,164,"pare",21650.3297906007,5030,111,5060,30,"passive","pare",0,0,0,0,0,0,0,0
"37",37,"V13492","central_iwp","raja_ampat","raja_ampat_8",28.84075238,102.865,6.321245119,6,"Closed",115.099702,69,"pare",35026.0172323165,1872,164,1898,26,"passive","pare",0,0,0,0,0,0,0,0
"38",38,"V13496","central_iwp","raja_ampat","raja_ampat_6",28.76996377,138.501,3.97345994,6,"Closed",124.9156004,77,"pare",26772.8307106161,2108,109,2108,0,"passive","pare",0,0,0,0,0,0,0,0
"39",39,"V13529","central_iwp","raja_ampat","raja_ampat_13",29.09358643,247.488,5.034816616,10,"Restricted",588.3195333,85,"pare",136137.060192041,2296,89,2324,28,"passive","pare",0,0,0,0,0,0,0,0
"40",40,"V13531","central_iwp","raja_ampat","raja_ampat_16",29.13433666,148.5,5.211632757,10,"Restricted",952.2913082,38,"pare",628050.890669932,1044,98,1044,0,"passive","pare",0,0,0,0,0,0,0,0
"41",41,"V13536","central_iwp","raja_ampat","raja_ampat_14",29.00041557,187.262,3.346761432,10,"Restricted",588.0802831,38,"pare",17003.9232770597,984,40,1012,28,"passive","pare",0,0,0,0,0,0,0,0
"42",42,"V14065","western_indian","mozambique","mozambique_1",25.97892329,111.199,95.9123637,0,"Fished",238.6262525,0,"pare",0,0,0,0,0,"passive","pare",0,0,0,0,0,0,0,0
"43",43,"V14066","western_indian","mozambique","mozambique_4",25.58197641,53,71.41592245,0,"Fished",736.84401,2,"pare",775.514052371832,52,2,52,0,"passive","pare",0,0,0,0,0,0,0,0
"44",44,"V14070","western_indian","Bazaruto","Santa Carolina",26.29,98,28,19,"Closed",55.0636799,7,"pare",336.569280961501,186,8,186,0,"passive","pare",0,0,0,0,0,0,0,0
"45",45,"V14076","western_indian","Bazaruto","Baluba",26.29,64,36,19,"Closed",120.4016967,4,"pare",11.588531808461,106,7,106,0,"passive","pare",0,0,0,0,0,0,0,0
"46",46,"V14110","western_indian","seychelles","seychelles_5",26.70022396,100.754,1.394087107,1,"Closed",346.0214262,2,"pare",365.990476190476,52,6,52,0,"passive","pare",0,0,0,0,0,0,0,0
"47",47,"V14115","western_indian","seychelles","seychelles_3",26.84248024,99.292,1.330337611,1,"Closed",247.2018351,5,"pare",10887.2170634921,130,5,130,0,"passive","pare",0,0,0,0,0,0,0,0
"48",48,"V14159","western_indian","seychelles","seychelles_2",27.87567296,131,193.9620366,0,"Fished",356.4425464,0,"pare",0,0,46,0,0,"passive","pare",0,0,0,0,0,0,0,0
"49",49,"V14354","western_indian","tanzania","tanzania_1",27.53677102,153.786,323.1467077,0,"Fished",82.05010158,9,"pare",24.3234084057629,208,56,234,26,"passive","pare",0,0,0,0,0,0,0,0
"50",50,"V1623","central_iwp","solomon","solomon_15",29.30765815,74.8,1.002338702,21,"Closed",223.0013971,43,"pare",47692.8793490065,1154,70,1154,0,"passive","pare",0,0,0,0,0,0,0,0
"51",51,"V1651","central_iwp","solomon","solomon_6",29.35546484,56,5.888259532,0,"Fished",39.40542105,62,"pare",22965.0465521925,1656,114,1656,0,"passive","pare",0,0,0,0,0,0,0,0
"52",52,"V1653","central_iwp","solomon","solomon_5",29.34720635,64.9,2.497625831,0,"Fished",274.5734278,88,"pare",93922.3395142086,2408,106,2442,34,"passive","pare",0,0,0,0,0,0,0,0
"53",53,"V1663","central_iwp","solomon","solomon_1",29.28295663,114.533,5.436542038,0,"Fished",90.60664678,46,"pare",2249.9499851193,1486,63,1552,66,"passive","pare",0,0,0,0,0,0,0,0
"54",54,"V1670","central_iwp","solomon","solomon_37",29.21634929,121.4,5.760687038,0,"Fished",99.99455815,11,"pare",33979.2900800716,292,121,292,0,"passive","pare",0,0,0,0,0,0,0,0
"55",55,"V1675","central_iwp","solomon","solomon_30",29.16495829,111.778,10.4780996,0,"Fished",193.4754165,14,"pare",7331.74819182804,390,73,390,0,"passive","pare",0,0,0,0,0,0,0,0
"56",56,"V1729","central_iwp","solomon","solomon_42",29.25464887,59.4,14.62806253,0,"Fished",49.06125629,0,"pare",0,0,0,0,0,"passive","pare",0,0,0,0,0,0,0,0
"57",57,"V1735","central_iwp","solomon","solomon_41",29.30085093,109.163,12.24440375,0,"Fished",47.10497694,26,"pare",18953.8815951662,684,47,684,0,"passive","pare",0,0,0,0,0,0,0,0
"58",58,"V1747","central_iwp","solomon","solomon_17",29.35013076,124.581,20.50000068,0,"Fished",214.771615,43,"pare",55390.4143158982,1122,106,1150,28,"passive","pare",0,0,0,0,0,0,0,0
"59",59,"V1782","central_iwp","solomon","solomon_31",29.09292379,80.3,8.85182226,0,"Fished",146.1456516,14,"pare",143190.478013112,366,57,366,0,"passive","pare",0,0,0,0,0,0,0,0
"60",60,"V1822","central_iwp","solomon","solomon_18",29.38797852,126.156,3.813107818,0,"Fished",100.681213,101,"pare",27124.7920282931,2776,98,2776,0,"passive","pare",0,0,0,0,0,0,0,0
"61",61,"V1823","central_iwp","solomon","solomon_7",29.36747743,75.9,19.26737234,0,"Fished",261.5467082,108,"pare",17288.0387798839,2952,91,2952,0,"passive","pare",0,0,0,0,0,0,0,0
"62",62,"V1864","central_iwp","solomon","solomon_11",29.30259518,120.352,1.39290354,0,"Fished",344.8031119,15,"pare",15551.0268608021,392,87,392,0,"passive","pare",0,0,0,0,0,0,0,0
"63",63,"V1875","central_iwp","solomon","solomon_12",29.2849747,132.91,12.81812821,24,"Closed",334.787737,76,"pare",16533.9957340311,2148,86,2148,0,"passive","pare",0,0,0,0,0,0,0,0
"64",64,"V1880","central_iwp","solomon","solomon_10",29.31478029,133.432,4.580460162,12,"Fished",50.45989006,71,"pare",421199.917168177,1890,92,1918,28,"passive","pare",0,0,0,0,0,0,0,0
