"","From","To","Prob"
"179248","V1600","V1272",15
"179249","V1601","V1272",20
"179332","V1684","V1272",15
"179338","V1690","V1272",15
"179386","V1738","V1272",15
"179460","V1812","V1272",30
"179625","V1977","V1272",20
"179628","V1980","V1272",15
"180108","V2460","V1272",15
"180127","V2479","V1272",20
"186958","V9310","V1272",20
"186967","V9319","V1272",15
"189662","V12014","V1272",15
"189663","V12015","V1272",15
"189728","V12080","V1272",15
"190865","V13217","V1272",15
"190913","V13265","V1272",15
"190914","V13266","V1272",15
"190960","V13312","V1272",15
"190961","V13313","V1272",15
"193762","V1310","V1273",20
"193764","V1312","V1273",30
"193793","V1341","V1273",15
"193830","V1378","V1273",20
"193846","V1394","V1273",15
"193848","V1396","V1273",15
"193849","V1397","V1273",20
"193850","V1398","V1273",20
"193854","V1402","V1273",20
"193855","V1403","V1273",15
"193856","V1404","V1273",15
"193857","V1405","V1273",15
"193858","V1406","V1273",15
"193861","V1409","V1273",25
"193866","V1414","V1273",15
"193869","V1417","V1273",15
"193870","V1418","V1273",20
"193873","V1421","V1273",20
"193874","V1422","V1273",20
"193876","V1424","V1273",15
"193877","V1425","V1273",25
"193878","V1426","V1273",20
"193880","V1428","V1273",20
"193882","V1430","V1273",15
"193883","V1431","V1273",15
"193886","V1434","V1273",15
"193888","V1436","V1273",15
"193889","V1437","V1273",20
"193890","V1438","V1273",15
"193892","V1440","V1273",20
"193893","V1441","V1273",20
"193895","V1443","V1273",15
"193896","V1444","V1273",15
"193897","V1445","V1273",15
"193899","V1447","V1273",15
"193900","V1448","V1273",20
"193902","V1450","V1273",20
"193905","V1453","V1273",15
"193909","V1457","V1273",15
"193912","V1460","V1273",15
"193913","V1461","V1273",15
"193914","V1462","V1273",20
"193915","V1463","V1273",15
"193931","V1479","V1273",15
"193932","V1480","V1273",15
"193984","V1532","V1273",15
"194400","V1948","V1273",15
"195476","V3024","V1273",25
"205711","V13259","V1273",15
"205754","V13302","V1273",15
"206116","V13664","V1273",15
"208556","V1300","V1274",15
"208568","V1312","V1274",15
"208570","V1314","V1274",15
"208571","V1315","V1274",20
"208626","V1370","V1274",15
"208637","V1381","V1274",15
"208645","V1389","V1274",15
"208653","V1397","V1274",15
"208658","V1402","V1274",15
"208659","V1403","V1274",20
"208662","V1406","V1274",15
"208663","V1407","V1274",15
"208664","V1408","V1274",15
"208666","V1410","V1274",20
"208667","V1411","V1274",15
"208669","V1413","V1274",25
"208670","V1414","V1274",20
"208674","V1418","V1274",20
"208676","V1420","V1274",15
"208677","V1421","V1274",20
"208678","V1422","V1274",20
"208682","V1426","V1274",20
"208685","V1429","V1274",15
"208686","V1430","V1274",25
"208687","V1431","V1274",15
"208688","V1432","V1274",15
"208690","V1434","V1274",30
"208694","V1438","V1274",15
"208695","V1439","V1274",15
"208698","V1442","V1274",30
"208699","V1443","V1274",20
"208700","V1444","V1274",25
"208701","V1445","V1274",30
"208703","V1447","V1274",15
"208704","V1448","V1274",20
"208705","V1449","V1274",20
"208706","V1450","V1274",15
"208707","V1451","V1274",30
"208708","V1452","V1274",20
"208709","V1453","V1274",30
"208713","V1457","V1274",30
"208718","V1462","V1274",30
"208719","V1463","V1274",20
"208728","V1472","V1274",20
"208733","V1477","V1274",20
"208734","V1478","V1274",20
"208740","V1484","V1274",15
"209067","V1811","V1274",15
"209068","V1812","V1274",15
"209201","V1945","V1274",15
