"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"54","Inflow MPA","b_logbiomassarea_log_InflowMPABR",0.9,0.5,"median",-0.313922610774771,-0.0678238028228363,0.0916445987590498,0.2560723925891,0.557014804735872,"PARENTAL","Biomass","Extrinsic Connect."
"55","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.226648828827353,-0.112140746019225,-0.0355891611761647,0.0464462982737814,0.18540374733558,"PARENTAL","Biomass","Extrinsic Connect."
"56","Corridor Indegree","b_logbiomassarea_log_CorridorIndegreeBR",0.9,0.5,"median",-0.369612077359145,-0.186937417416087,-0.0715456981302053,0.053134620578023,0.244604889007134,"PARENTAL","Biomass","Extrinsic Connect."
"57","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.175448248161418,0.285186343126206,0.359010288611693,0.430720483408105,0.537142427337592,"PARENTAL","Biomass","Human/Env."
"58","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0483048398487664,0.159109215273965,0.233022602261857,0.307012136620039,0.418231626080989,"PARENTAL","Biomass","Human/Env."
"59","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",-0.0761701694338364,0.0633341730623892,0.165147670957317,0.261644192379348,0.403007120657923,"PARENTAL","Biomass","Intrinsic Connect."
"60","No-Take x Netflow","b_logbiomassarea_ClassClosed:Netflow",0.9,0.5,"median",-0.578563355509984,-0.0168357579127437,0.349256608810699,0.734376027845227,1.29983355322743,"PARENTAL","Biomass","Intrinsic Connect."
"61","Restricted gears x Netflow","b_logbiomassarea_ClassRestricted:Netflow",0.9,0.5,"median",-0.636537356266546,-0.126138933210529,0.234644819401113,0.596656174486419,1.11731327754227,"PARENTAL","Biomass","Intrinsic Connect."
"62","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.544998624940955,-0.314680298187774,-0.151592738196764,0.0106383400842375,0.244869037072186,"PARENTAL","Biomass","Intrinsic Connect."
"63","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.381124296301561,-0.168053726638048,-0.0234240052514104,0.120055642646179,0.324702766469559,"PARENTAL","Biomass","Intrinsic Connect."
"64","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.44494510047063,5.78648166130769,6.00095960424305,6.22481064875569,6.55721222059845,"CRYPTIC","Biomass","Intercept"
"65","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.354675779803895,0.43144480538906,0.481845361464574,0.535932724628431,0.615748552496992,"CRYPTIC","Biomass","Richness"
"66","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",-0.0150682850986834,0.0821263318262427,0.14994940771587,0.215921585301678,0.304207717527411,"CRYPTIC","Biomass","Human/Env."
"67","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.330635433716106,-0.237923733306234,-0.175948083636062,-0.110973736534181,-0.00511006584799829,"CRYPTIC","Biomass","Human/Env."
"68","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.492539955244188,-0.235610634386885,-0.0608014673550769,0.107653973751013,0.357427083906129,"CRYPTIC","Biomass","Human/Env."
"69","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",-0.328222112922372,-0.104062329170419,0.0514580466961553,0.210347346238671,0.447394948133844,"CRYPTIC","Biomass","Human/Env."
"70","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-1.77745806995051,-1.24961762339738,-0.896675877390291,-0.570728341025143,-0.102832928503919,"CRYPTIC","Biomass","Intrinsic Connect."
"71","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.400429527812815,-0.218201079001156,-0.0850489006473718,0.0439413904434433,0.237426834653289,"CRYPTIC","Biomass","Intrinsic Connect."
"72","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.217708375350852,0.0053794873590575,0.151299689940322,0.303570603665659,0.548622872504905,"CRYPTIC","Biomass","Intrinsic Connect."
"73","Betweeness Centr.","b_logbiomassarea_log_btwdegree",0.9,0.5,"median",-1.06627410677853,-0.35148023963323,0.01844826340706,0.317045811036651,0.849244289063568,"CRYPTIC","Biomass","Intrinsic Connect."
"74","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.158536666934755,-0.115355212877839,-0.086018660737148,-0.0571206599928877,-0.0120225386167025,"CRYPTIC","Biomass","Extrinsic Connect."
"75","Inflow MPA","b_logbiomassarea_log_InflowMPABR",0.9,0.5,"median",-0.417854244803762,-0.152586923044699,0.0209561025780135,0.19538374280588,0.487491537041326,"CRYPTIC","Biomass","Extrinsic Connect."
"76","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.206252649625614,-0.0817641650698457,-0.00425490753338616,0.0768049192309905,0.219795437470911,"CRYPTIC","Biomass","Extrinsic Connect."
"77","Corridor Indegree","b_logbiomassarea_log_CorridorIndegreeBR",0.9,0.5,"median",-0.344127349927469,-0.148663012181104,-0.026046358232613,0.102622376082505,0.321033935791687,"CRYPTIC","Biomass","Extrinsic Connect."
"78","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.1570967448129,0.265607118641304,0.337557113488638,0.411963320607058,0.524795445813718,"CRYPTIC","Biomass","Human/Env."
"79","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0702089502566995,0.174482575630576,0.248513637891419,0.322665136174674,0.430160469166208,"CRYPTIC","Biomass","Human/Env."
"80","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",0.0115532324160258,0.17418887326164,0.287460170067094,0.396035583638131,0.558013766487709,"CRYPTIC","Biomass","Intrinsic Connect."
"81","No-Take x Netflow","b_logbiomassarea_ClassClosed:Netflow",0.9,0.5,"median",-0.598406845132245,-0.0274446109726628,0.397336081596087,0.84209866240371,1.44112073603368,"CRYPTIC","Biomass","Intrinsic Connect."
"82","Restricted gears x Netflow","b_logbiomassarea_ClassRestricted:Netflow",0.9,0.5,"median",-0.107522803210987,0.438962098654377,0.819503744346403,1.22452022838237,1.81199528977664,"CRYPTIC","Biomass","Intrinsic Connect."
"83","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.693814442140965,-0.456846109058245,-0.288721103148309,-0.124087983426436,0.119909980114194,"CRYPTIC","Biomass","Intrinsic Connect."
"84","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.689894032351275,-0.465454992235193,-0.320010331090092,-0.170760493049698,0.0378845044112169,"CRYPTIC","Biomass","Intrinsic Connect."
