ID,ID2,Lon,Lat,TERRITORY1,sItes
V559,553,98.52,-1.14,Indonesia,
V560,554,98.44,-1.14,Indonesia,
V561,555,98.52,-1.22,Indonesia,
V562,556,98.44,-1.22,Indonesia,
V563,557,99.32,-1.62,Indonesia,
V564,558,79.88,11.9,India,
V565,559,79.88,11.82,India,
V566,560,81.72,16.22,India,
V567,561,94.36,16.94,Myanmar,
V568,562,94.36,17.02,Myanmar,
V569,563,94.2,16.54,Myanmar,
V570,564,94.28,16.86,Myanmar,
V571,565,94.2,16.46,Myanmar,
V572,566,94.28,15.82,Myanmar,
V573,567,94.2,15.66,Myanmar,
V574,568,94.2,15.74,Myanmar,
V575,569,93.4,19.74,Myanmar,
V576,570,92.92,19.98,Myanmar,
V577,571,93,19.82,Myanmar,
V578,572,94.04,18.7,Myanmar,
V579,573,93.72,18.62,Myanmar,
V580,574,93.8,18.62,Myanmar,
V581,575,93.96,18.7,Myanmar,
V582,576,92.36,20.54,Bangladesh,
V583,577,92.28,20.62,Bangladesh,
V584,578,93.24,19.34,Myanmar,
V585,579,93.24,19.42,Myanmar,
V586,580,93.4,19.42,Myanmar,
V587,581,94.12,18.7,Myanmar,
V588,582,93.8,18.7,Myanmar,
V589,583,94.04,18.62,Myanmar,
V590,584,93.64,18.7,,
V591,585,93.56,18.78,,
V592,586,92.52,20.22,Myanmar,
V593,587,94.28,18.22,Myanmar,
V594,588,93.16,19.74,Myanmar,
V595,589,92.6,20.14,Myanmar,
V596,590,92.52,20.14,Myanmar,
V597,591,94.44,17.74,Myanmar,
V598,592,93.56,18.7,Myanmar,
V599,593,93.48,18.78,Myanmar,
V600,594,93.88,18.46,Myanmar,
V601,595,93.88,18.62,Myanmar,
V602,596,93.64,18.62,Myanmar,
V603,597,93.8,18.54,Myanmar,
V604,598,94.12,18.62,Myanmar,
V605,599,93.96,18.46,Myanmar,
V606,600,94.04,18.06,Myanmar,
V607,601,94.12,18.06,Myanmar,
V608,602,94.44,17.26,Myanmar,
V609,603,72.36,-6.34,Chagos Archipelago,
V610,604,72.28,-6.5,Chagos Archipelago,
V611,605,72.36,-6.58,Chagos Archipelago,
V612,606,72.2,-6.74,Chagos Archipelago,
V613,607,72.28,-6.74,Chagos Archipelago,
V614,608,72.36,-6.5,Chagos Archipelago,
V615,609,70.92,-7.38,Chagos Archipelago,
V616,610,71.48,-6.98,Chagos Archipelago,
V617,611,71,-7.38,Chagos Archipelago,
V618,612,71.48,-7.38,Chagos Archipelago,
V619,613,71.4,-7.38,Chagos Archipelago,
V620,614,71.48,-7.14,Chagos Archipelago,
V621,615,71.32,-7.3,Chagos Archipelago,
V622,616,70.84,-7.7,Chagos Archipelago,
V623,617,70.76,-7.7,Chagos Archipelago,
