ID,Id2,Lon,Lat,SOVEREIGN1,DESIG_ENG,IUCN_CAT,NO_TAKE,Class,General
V161,161,98.6,7.9,Thailand,,,,Fished,Fished
V162,162,97.64,8.46,Thailand,,,,Fished,Fished
V163,163,98.52,7.74,Thailand,,,,Fished,Fished
V164,164,98.44,7.74,Thailand,,,,Fished,Fished
V165,165,98.28,7.74,Thailand,,,,Fished,Fished
V166,166,98.6,7.74,Thailand,,,,Fished,Fished
V167,167,99.32,6.46,Thailand,,,,Fished,Fished
V168,168,99.48,6.54,Thailand,Marine National Park,II,Not Reported,Restricted,MPA
V169,169,99.72,6.22,,,,,Fished,Fished
V170,170,97.8,9.02,Thailand,,,,Fished,Fished
V171,171,97.64,8.54,Thailand,National Park and ASEAN Heritage Park,II,Not Reported,Restricted,MPA
V172,172,99.4,6.46,Thailand,,,,Fished,Fished
V173,173,99.16,6.46,Thailand,Marine National Park,II,Not Reported,Restricted,MPA
V174,174,98.92,7.42,Thailand,,,,Fished,Fished
V175,175,98.28,7.42,Thailand,,,,Fished,Fished
V176,176,99.32,7.26,Thailand,,,,Fished,Fished
V177,177,98.84,7.58,Thailand,,,,Fished,Fished
V178,178,98.76,7.66,Thailand,Marine National Park,II,Not Reported,Restricted,MPA
V179,179,98.28,7.5,Thailand,,,,Fished,Fished
V180,180,99.48,6.78,Thailand,,,,Fished,Fished
V181,181,99.56,6.86,Thailand,,,,Fished,Fished
V182,182,99.56,6.78,Thailand,,,,Fished,Fished
V183,183,99.4,7.1,Thailand,,,,Fished,Fished
V184,184,99.32,7.18,Thailand,,,,Fished,Fished
V185,185,99.48,6.94,Thailand,,,,Fished,Fished
V186,186,99.72,6.14,Malaysia,,,,Fished,Fished
V187,187,95,5.66,Indonesia,,,,Fished,Fished
V188,188,95,5.74,Indonesia,,,,Fished,Fished
V189,190,95.08,5.58,Indonesia,,,,Fished,Fished
V190,191,95.16,5.58,Indonesia,,,,Fished,Fished
V191,192,95,5.58,Indonesia,,,,Fished,Fished
V192,193,95.08,6.06,Indonesia,,,,Fished,Fished
V193,194,95.32,5.74,Indonesia,,,,Fished,Fished
V194,195,95.24,5.82,Indonesia,,,,Fished,Fished
V195,196,98.84,-0.74,Indonesia,,,,Fished,Fished
V196,197,98.76,-0.74,Indonesia,,,,Fished,Fished
V197,198,98.6,-0.82,Indonesia,,,,Fished,Fished
V198,198,98.6,-0.82,Indonesia,,,,Fished,Fished
V199,199,98.84,-0.82,Indonesia,,,,Fished,Fished
V200,199,98.84,-0.82,Indonesia,,,,Fished,Fished
V201,200,98.76,-0.82,Indonesia,,,,Fished,Fished
V202,200,98.76,-0.82,Indonesia,,,,Fished,Fished
V203,201,98.68,-0.82,Indonesia,,,,Fished,Fished
V204,201,98.68,-0.82,Indonesia,,,,Fished,Fished
V205,202,101,-4.02,Indonesia,,,,Fished,Fished
V206,203,100.6,-3.54,Indonesia,,,,Fished,Fished
V207,204,100.68,-3.54,Indonesia,,,,Fished,Fished
V208,205,95.08,5.42,Indonesia,,,,Fished,Fished
V209,206,95,5.42,Indonesia,,,,Fished,Fished
V210,207,95,5.5,Indonesia,,,,Fished,Fished
V211,208,95.16,5.5,Indonesia,,,,Fished,Fished
V212,209,95.08,5.5,Indonesia,,,,Fished,Fished
V213,210,95.16,5.42,Indonesia,,,,Fished,Fished
V214,211,95.4,4.78,Indonesia,,,,Fished,Fished
V215,212,95.24,4.78,Indonesia,,,,Fished,Fished
V216,213,95.24,4.7,Indonesia,,,,Fished,Fished
V217,214,95.16,4.86,Indonesia,,,,Fished,Fished
V218,215,95.4,4.86,Indonesia,,,,Fished,Fished
V219,216,95.24,4.94,Indonesia,,,,Fished,Fished
V220,217,95.24,4.86,Indonesia,,,,Fished,Fished
V221,218,95.4,4.62,Indonesia,,,,Fished,Fished
V222,219,95.48,4.62,Indonesia,,,,Fished,Fished
V223,220,95.32,4.62,Indonesia,,,,Fished,Fished
V224,221,95.32,4.54,Indonesia,,,,Fished,Fished
V225,222,95.32,4.7,Indonesia,,,,Fished,Fished
V226,223,95.16,5.18,Indonesia,,,,Fished,Fished
V227,224,95.24,5.18,Indonesia,,,,Fished,Fished
V228,225,95.08,5.26,Indonesia,,,,Fished,Fished
V229,226,95.08,5.18,Indonesia,,,,Fished,Fished
V230,227,95.16,5.34,Indonesia,,,,Fished,Fished
V231,228,95.16,5.26,Indonesia,,,,Fished,Fished
V232,229,95.24,5.26,,,,,Fished,Fished
V233,230,95.32,5.02,Indonesia,,,,Fished,Fished
V234,231,95.16,5.1,Indonesia,,,,Fished,Fished
V235,232,95.08,5.02,Indonesia,,,,Fished,Fished
V236,233,95.16,4.94,Indonesia,,,,Fished,Fished
V237,234,95.24,5.1,Indonesia,,,,Fished,Fished
V238,235,95.08,5.34,Indonesia,,,,Fished,Fished
V239,236,95.08,5.1,Indonesia,,,,Fished,Fished
V240,237,95.16,5.02,Indonesia,,,,Fished,Fished
V241,238,96.6,3.58,Indonesia,,,,Fished,Fished
V242,239,96.76,3.58,Indonesia,,,,Fished,Fished
V243,240,96.6,3.5,Indonesia,,,,Fished,Fished
V244,241,96.76,3.5,Indonesia,,,,Fished,Fished
V245,242,96.44,3.58,Indonesia,,,,Fished,Fished
V246,243,96.92,3.58,Indonesia,,,,Fished,Fished
V247,244,96.68,3.58,Indonesia,,,,Fished,Fished
V248,245,96.36,3.58,Indonesia,,,,Fished,Fished
V249,246,96.84,3.42,Indonesia,,,,Fished,Fished
V250,247,96.84,3.5,Indonesia,,,,Fished,Fished
V251,248,96.92,3.42,Indonesia,,,,Fished,Fished
V252,249,96.76,3.42,Indonesia,,,,Fished,Fished
V253,250,96.52,3.5,Indonesia,,,,Fished,Fished
V254,251,97,3.5,Indonesia,,,,Fished,Fished
V255,252,96.68,3.5,Indonesia,,,,Fished,Fished
V256,253,96.92,3.5,Indonesia,,,,Fished,Fished
V257,254,95.56,4.3,Indonesia,,,,Fished,Fished
