ID,ID2,Lon,Lat,TERRITORY1,Grav_tot,ECOREGION,PROVINCE
V156,156,99.16,7.42,Thailand,159,Andaman Sea Coral Coast,Andaman
V157,157,99.24,7.34,Thailand,153,Andaman Sea Coral Coast,Andaman
V158,158,97.64,8.62,Thailand,0,Andaman Sea Coral Coast,Andaman
V159,159,97.64,8.7,Thailand,35,Andaman Sea Coral Coast,Andaman
V160,160,97.8,9.1,Thailand,34,Andaman Sea Coral Coast,Andaman
V161,161,98.6,7.9,Thailand,0,Andaman Sea Coral Coast,Andaman
V162,162,97.64,8.46,Thailand,36,Andaman Sea Coral Coast,Andaman
V163,163,98.52,7.74,Thailand,106,Andaman Sea Coral Coast,Andaman
V164,164,98.44,7.74,Thailand,139,Andaman Sea Coral Coast,Andaman
V165,165,98.28,7.74,Thailand,159,Andaman Sea Coral Coast,Andaman
V166,166,98.6,7.74,Thailand,92,Andaman Sea Coral Coast,Andaman
V167,167,99.32,6.46,Thailand,91,Andaman Sea Coral Coast,Andaman
V168,168,99.48,6.54,Thailand,108,Andaman Sea Coral Coast,Andaman
V169,169,99.72,6.22,,155,Andaman Sea Coral Coast,Andaman
V170,170,97.8,9.02,Thailand,34,Andaman Sea Coral Coast,Andaman
V171,171,97.64,8.54,Thailand,35,Andaman Sea Coral Coast,Andaman
V172,172,99.4,6.46,Thailand,0,Andaman Sea Coral Coast,Andaman
V173,173,99.16,6.46,Thailand,76,Andaman Sea Coral Coast,Andaman
V174,174,98.92,7.42,Thailand,93,Andaman Sea Coral Coast,Andaman
V175,175,98.28,7.42,Thailand,0,Andaman Sea Coral Coast,Andaman
V176,176,99.32,7.26,Thailand,135,Andaman Sea Coral Coast,Andaman
V177,177,98.84,7.58,Thailand,0,Andaman Sea Coral Coast,Andaman
V178,178,98.76,7.66,Thailand,91,Andaman Sea Coral Coast,Andaman
V179,179,98.28,7.5,Thailand,0,Andaman Sea Coral Coast,Andaman
V180,180,99.48,6.78,Thailand,0,Andaman Sea Coral Coast,Andaman
V181,181,99.56,6.86,Thailand,115,Andaman Sea Coral Coast,Andaman
V182,182,99.56,6.78,Thailand,0,Andaman Sea Coral Coast,Andaman
V183,183,99.4,7.1,Thailand,137,Andaman Sea Coral Coast,Andaman
V184,184,99.32,7.18,Thailand,128,Andaman Sea Coral Coast,Andaman
V185,185,99.48,6.94,Thailand,115,Andaman Sea Coral Coast,Andaman
V186,186,99.72,6.14,Malaysia,0,Andaman Sea Coral Coast,Andaman
V187,187,95,5.66,Indonesia,183,Western Sumatra,Andaman
V188,188,95,5.74,Indonesia,104,Western Sumatra,Andaman
V189,190,95.08,5.58,Indonesia,134,Western Sumatra,Andaman
V190,191,95.16,5.58,Indonesia,215,Western Sumatra,Andaman
V191,192,95,5.58,Indonesia,134,Western Sumatra,Andaman
V192,193,95.08,6.06,Indonesia,0,Western Sumatra,Andaman
V193,194,95.32,5.74,Indonesia,178,Western Sumatra,Andaman
V194,195,95.24,5.82,Indonesia,84,Western Sumatra,Andaman
V195,196,98.84,-0.74,Indonesia,0,Western Sumatra,Andaman
V196,197,98.76,-0.74,Indonesia,39,Western Sumatra,Andaman
V197,198,98.6,-0.82,Indonesia,32,Western Sumatra,Andaman
V198,198,98.6,-0.82,Indonesia,32,Western Sumatra,Andaman
V199,199,98.84,-0.82,Indonesia,41,Western Sumatra,Andaman
V200,199,98.84,-0.82,Indonesia,41,Western Sumatra,Andaman
V201,200,98.76,-0.82,Indonesia,37,Western Sumatra,Andaman
V202,200,98.76,-0.82,Indonesia,37,Western Sumatra,Andaman
V203,201,98.68,-0.82,Indonesia,0,Western Sumatra,Andaman
V204,201,98.68,-0.82,Indonesia,0,Western Sumatra,Andaman
V205,202,101,-4.02,Indonesia,33,Western Sumatra,Andaman
V206,203,100.6,-3.54,Indonesia,0,Western Sumatra,Andaman
V207,204,100.68,-3.54,Indonesia,34,Western Sumatra,Andaman
V208,205,95.08,5.42,Indonesia,128,Western Sumatra,Andaman
V209,206,95,5.42,Indonesia,128,Western Sumatra,Andaman
V210,207,95,5.5,Indonesia,158,Western Sumatra,Andaman
V211,208,95.16,5.5,Indonesia,302,Western Sumatra,Andaman
V212,209,95.08,5.5,Indonesia,158,Western Sumatra,Andaman
V213,210,95.16,5.42,Indonesia,208,Western Sumatra,Andaman
V214,211,95.4,4.78,Indonesia,130,Western Sumatra,Andaman
V215,212,95.24,4.78,Indonesia,71,Western Sumatra,Andaman
V216,213,95.24,4.7,Indonesia,62,Western Sumatra,Andaman
V217,214,95.16,4.86,Indonesia,0,Western Sumatra,Andaman
V218,215,95.4,4.86,Indonesia,2664,Western Sumatra,Andaman
V219,216,95.24,4.94,Indonesia,0,Western Sumatra,Andaman
V220,217,95.24,4.86,Indonesia,81,Western Sumatra,Andaman
V221,218,95.4,4.62,Indonesia,76,Western Sumatra,Andaman
V222,219,95.48,4.62,Indonesia,99,Western Sumatra,Andaman
V223,220,95.32,4.62,Indonesia,62,Western Sumatra,Andaman
V224,221,95.32,4.54,Indonesia,54,Western Sumatra,Andaman
V225,222,95.32,4.7,Indonesia,74,Western Sumatra,Andaman
V226,223,95.16,5.18,Indonesia,141,Western Sumatra,Andaman
V227,224,95.24,5.18,Indonesia,234,Western Sumatra,Andaman
V228,225,95.08,5.26,Indonesia,99,Western Sumatra,Andaman
V229,226,95.08,5.18,Indonesia,99,Western Sumatra,Andaman
V230,227,95.16,5.34,Indonesia,169,Western Sumatra,Andaman
V231,228,95.16,5.26,Indonesia,141,Western Sumatra,Andaman
V232,229,95.24,5.26,,234,Western Sumatra,Andaman
V233,230,95.32,5.02,Indonesia,335,Western Sumatra,Andaman
V234,231,95.16,5.1,Indonesia,105,Western Sumatra,Andaman
V235,232,95.08,5.02,Indonesia,0,Western Sumatra,Andaman
V236,233,95.16,4.94,Indonesia,74,Western Sumatra,Andaman
V237,234,95.24,5.1,Indonesia,0,Western Sumatra,Andaman
