"","ID","Lon","Lat","General","PROVINCE","Kulbicki","crypto5BROF","crypto5BRIF","pare5BRin","pare5BRout"
"114","V114",97.88,12.86,"Fished","Andaman","Central Indo_Pacific",254,2109,42,12
"115","V115",98.2,12.7,"Fished","Andaman","Central Indo_Pacific",1659,2680,29,13
"116","V116",98.2,12.78,"Fished","Andaman","Central Indo_Pacific",1740,1724,29,16
"117","V117",97.8,14.14,"Fished","Andaman","Central Indo_Pacific",433,597,19,5
"118","V118",97.96,11.42,"Fished","Andaman","Central Indo_Pacific",1016,1503,28,17
"119","V119",98.12,11.5,"Fished","Andaman","Central Indo_Pacific",1472,530,6,20
"120","V120",98.28,11.18,"Fished","Andaman","Central Indo_Pacific",1873,1816,4,9
"121","V121",97.88,12.22,"Fished","Andaman","Central Indo_Pacific",973,1050,25,34
"122","V122",97.88,12.38,"Fished","Andaman","Central Indo_Pacific",713,500,17,32
"123","V123",97.8,12.22,"Fished","Andaman","Central Indo_Pacific",778,316,19,33
"124","V124",97.88,12.3,"Fished","Andaman","Central Indo_Pacific",873,484,20,27
"125","V125",97.72,11.9,"Fished","Andaman","Central Indo_Pacific",682,740,29,31
"126","V126",98.04,11.5,"Fished","Andaman","Central Indo_Pacific",1145,623,22,13
"127","V127",97.8,12.06,"Fished","Andaman","Central Indo_Pacific",985,539,22,32
"128","V128",97.64,11.9,"Fished","Andaman","Central Indo_Pacific",847,385,27,28
"129","V129",97.72,11.98,"Fished","Andaman","Central Indo_Pacific",614,463,21,34
"130","V130",97.96,10.22,"Fished","Andaman","Central Indo_Pacific",1072,645,8,13
"131","V131",98.12,10.14,"Fished","Andaman","Central Indo_Pacific",1390,1074,10,20
"132","V132",98.04,10.22,"Fished","Andaman","Central Indo_Pacific",1119,1041,6,16
"133","V133",97.96,9.58,"Fished","Andaman","Central Indo_Pacific",1039,236,2,23
"134","V134",97.96,9.66,"Fished","Andaman","Central Indo_Pacific",967,244,1,22
"135","V135",97.88,10.86,"Fished","Andaman","Central Indo_Pacific",913,4461,30,20
"136","V136",97.88,10.38,"Fished","Andaman","Central Indo_Pacific",1144,949,10,20
"137","V137",98.04,10.14,"Fished","Andaman","Central Indo_Pacific",1161,480,5,17
"138","V138",98.12,10.46,"Fished","Andaman","Central Indo_Pacific",1778,1576,5,21
"139","V139",97.72,10.46,"Fished","Andaman","Central Indo_Pacific",951,1476,26,15
"140","V140",97.64,10.46,"Fished","Andaman","Central Indo_Pacific",953,2816,42,13
"141","V141",98.04,10.78,"MPA","Andaman","Central Indo_Pacific",1270,1530,16,17
"142","V142",97.88,10.54,"Fished","Andaman","Central Indo_Pacific",984,741,7,9
"143","V143",97.72,10.62,"Fished","Andaman","Central Indo_Pacific",950,1705,32,10
"144","V144",97.96,9.74,"Fished","Andaman","Central Indo_Pacific",1105,478,5,21
"145","V145",97.88,10.14,"Fished","Andaman","Central Indo_Pacific",1066,1607,11,15
"146","V146",97.88,10.22,"Fished","Andaman","Central Indo_Pacific",1099,868,13,17
"147","V147",98.28,11.02,"MPA","Andaman","Central Indo_Pacific",574,485,5,15
"148","V148",98.36,11.02,"MPA","Andaman","Central Indo_Pacific",968,562,4,12
"149","V149",99.16,6.54,"MPA","Andaman","Central Indo_Pacific",627,286,10,25
"150","V150",98.36,7.58,"Fished","Andaman","Central Indo_Pacific",1070,1762,13,18
"151","V151",98.76,7.82,"MPA","Andaman","Central Indo_Pacific",2369,1213,5,23
"152","V152",98.76,7.74,"MPA","Andaman","Central Indo_Pacific",1861,627,8,26
"153","V153",99.08,7.18,"Fished","Andaman","Central Indo_Pacific",1209,1391,14,21
"154","V154",99.48,7.02,"MPA","Andaman","Central Indo_Pacific",2117,1520,9,19
"155","V155",99.08,7.26,"Fished","Andaman","Central Indo_Pacific",1359,1166,12,25
"156","V156",99.16,7.42,"Fished","Andaman","Central Indo_Pacific",2399,3796,8,12
"157","V157",99.24,7.34,"Fished","Andaman","Central Indo_Pacific",1925,2222,9,19
"158","V158",97.64,8.62,"MPA","Andaman","Central Indo_Pacific",744,706,25,28
"159","V159",97.64,8.7,"Fished","Andaman","Central Indo_Pacific",811,1516,23,22
"160","V160",97.8,9.1,"Fished","Andaman","Central Indo_Pacific",888,685,17,20
"161","V161",98.6,7.9,"Fished","Andaman","Central Indo_Pacific",2040,873,3,21
"162","V162",97.64,8.46,"Fished","Andaman","Central Indo_Pacific",581,1855,27,19
