pare5in,pare5out,pare5LR,crypto5in,crypto5out,crypto5LR,transi15in,transi15out,transi15LR,resid15in,resid15out,resid15LR
27.95698925,56.98924731,15.05376344,30.05464481,36.06557377,33.87978142,56.75675676,43.24324324,0,39.21568627,47.05882353,13.7254902
23.19391635,13.68821293,63.11787072,10.81871345,9.941520468,79.23976608,8.958837772,8.232445521,82.80871671,21.484375,22.265625,56.25
15.26315789,16.31578947,68.42105263,14.69387755,23.26530612,62.04081633,21.42857143,78.57142857,0,25.59241706,50.23696682,24.17061611
18.40490798,22.6993865,58.89570552,21.58590308,25.99118943,52.42290749,20,80,0,35.38461538,49.74358974,14.87179487
19.84732824,14.50381679,65.64885496,7.866868381,11.49773071,80.63540091,6.944444444,8.333333333,84.72222222,28.89518414,33.71104816,37.39376771
63.49206349,36.50793651,0,49.18032787,50.81967213,0,65.71428571,34.28571429,0,48.92086331,50.35971223,0.71942446
51.48514851,48.51485149,0,33.85826772,27.16535433,38.97637795,47.54098361,47.54098361,4.918032787,39.92248062,49.2248062,10.85271318
32.65306122,55.10204082,12.24489796,34.92063492,40.74074074,24.33862434,53.33333333,46.66666667,0,49.22279793,46.11398964,4.663212435
23.72881356,27.11864407,49.15254237,10.24208566,10.61452514,79.1433892,16.66666667,83.33333333,0,28.32618026,46.78111588,24.89270386
6.829268293,17.07317073,76.09756098,9,16.42857143,74.57142857,8.474576271,91.52542373,0,26.53061224,54.28571429,19.18367347
10.81967213,7.540983607,81.63934426,10.52631579,11.05263158,78.42105263,44.44444444,50,5.555555556,31.57894737,34.90304709,33.51800554
21.8487395,23.52941176,54.62184874,35.54006969,38.32752613,26.13240418,21.79487179,78.20512821,0,44.85596708,51.44032922,3.703703704
59.375,31.25,9.375,36.48648649,28.37837838,35.13513514,53.84615385,46.15384615,0,40.08097166,49.39271255,10.52631579
46.83544304,53.16455696,0,27.88104089,21.9330855,50.18587361,46.875,53.125,0,32.97297297,51.89189189,15.13513514
59.2,34.4,6.4,30.59210526,27.96052632,41.44736842,34.58646617,36.09022556,29.32330827,40.625,47.65625,11.71875
13.69047619,13.69047619,72.61904762,9.404388715,16.92789969,73.6677116,4.545454545,95.45454545,0,30.52631579,52.10526316,17.36842105
69.49152542,30.50847458,0,47.54098361,52.45901639,0,49.38271605,43.20987654,7.407407407,55.03875969,44.18604651,0.775193798
17.61904762,25.23809524,57.14285714,23.00319489,20.76677316,56.23003195,71.42857143,28.57142857,0,44.09090909,50,5.909090909
16.25282167,9.706546275,74.04063205,15.31365314,12.54612546,72.1402214,12.07430341,16.40866873,71.51702786,31.11702128,31.11702128,37.76595745
