"","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","ModelMode","Larval_behaviour","FE","SelfR","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR","OutFlow","Outdegree","btwdegree"
"45","V14076","western_indian","Bazaruto","Baluba",26.29,64,36,19,"Closed",120.4016967,"pare","passive","pare",0,0,0,0,0,0,0,0,0,190,7,10.8832177987992
"46","V14110","western_indian","seychelles","seychelles_5",26.70022396,100.754,1.394087107,1,"Closed",346.0214262,"pare","passive","pare",0,0,0,0,0,0,0,0,0,170,6,301.233333333333
"47","V14115","western_indian","seychelles","seychelles_3",26.84248024,99.292,1.330337611,1,"Closed",247.2018351,"pare","passive","pare",0,0,0,0,0,0,0,0,0,154,5,750.574206349206
"48","V14159","western_indian","seychelles","seychelles_2",27.87567296,131,193.9620366,0,"Fished",356.4425464,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1248,46,0
"49","V14354","western_indian","tanzania","tanzania_1",27.53677102,153.786,323.1467077,0,"Fished",82.05010158,"pare","passive","pare",26,0,0,0,0,0,0,0,0,2026,56,24.1793137628692
"50","V1623","central_iwp","solomon","solomon_15",29.30765815,74.8,1.002338702,21,"Closed",223.0013971,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1798,60,1478.64844977997
"51","V1651","central_iwp","solomon","solomon_6",29.35546484,56,5.888259532,0,"Fished",39.40542105,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3138,111,4974.4852469235
"52","V1653","central_iwp","solomon","solomon_5",29.34720635,64.9,2.497625831,0,"Fished",274.5734278,"pare","passive","pare",34,0,0,0,0,0,0,0,0,2992,104,10668.4696755312
"53","V1663","central_iwp","solomon","solomon_1",29.28295663,114.533,5.436542038,0,"Fished",90.60664678,"pare","passive","pare",66,0,0,0,0,0,0,0,0,1652,57,322.574506905851
"54","V1670","central_iwp","solomon","solomon_37",29.21634929,121.4,5.760687038,0,"Fished",99.99455815,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3268,120,5296.42561661853
"55","V1675","central_iwp","solomon","solomon_30",29.16495829,111.778,10.4780996,0,"Fished",193.4754165,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2198,72,2639.39347248344
"56","V1729","central_iwp","solomon","solomon_42",29.25464887,59.4,14.62806253,0,"Fished",49.06125629,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"57","V1735","central_iwp","solomon","solomon_41",29.30085093,109.163,12.24440375,0,"Fished",47.10497694,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1328,47,9563.37880987329
"58","V1747","central_iwp","solomon","solomon_17",29.35013076,124.581,20.50000068,0,"Fished",214.771615,"pare","passive","pare",28,0,0,0,0,0,0,0,0,3234,106,31099.0281641315
"59","V1782","central_iwp","solomon","solomon_31",29.09292379,80.3,8.85182226,0,"Fished",146.1456516,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1558,57,82.3241899996846
"60","V1822","central_iwp","solomon","solomon_18",29.38797852,126.156,3.813107818,0,"Fished",100.681213,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2690,98,8051.14620342302
"61","V1823","central_iwp","solomon","solomon_7",29.36747743,75.9,19.26737234,0,"Fished",261.5467082,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2510,91,9540.23543177721
"62","V1864","central_iwp","solomon","solomon_11",29.30259518,120.352,1.39290354,0,"Fished",344.8031119,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2518,87,5177.94020726832
"63","V1875","central_iwp","solomon","solomon_12",29.2849747,132.91,12.81812821,24,"Closed",334.787737,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2626,83,2503.31185748581
"64","V1880","central_iwp","solomon","solomon_10",29.31478029,133.432,4.580460162,12,"Fished",50.45989006,"pare","passive","pare",28,0,0,0,0,0,0,0,0,2542,86,3840.95323621375
"65","V190","central_iwp","aceh","aceh_2",28.93665872,155.157,450.3657373,0,"Fished",86.56011682,"pare","passive","pare",258,0,0,0,0,0,0,0,0,2384,52,1721.29014528944
"66","V1901","central_iwp","solomon","solomon_8",29.36426549,88.884,1.644818785,0,"Fished",64.80812435,"pare","passive","pare",44,0,0,0,0,0,0,0,0,3422,117,15315.3525165792
"67","V1917","central_iwp","solomon","solomon_21",29.36725016,171.429,4.114091201,21,"Closed",529.2527502,"pare","passive","pare",86,0,0,0,0,0,0,0,0,2066,67,1306.33033156579
"68","V1919","central_iwp","solomon","solomon_3",29.32487338,80.888,3.753540451,0,"Fished",59.0050427,"pare","passive","pare",44,0,0,0,0,0,0,0,0,2356,79,2728.73575311879
"69","V1929","central_iwp","solomon","solomon_25",29.34697635,71.6,35.56657712,0,"Fished",145.7012041,"pare","passive","pare",32,0,0,0,0,0,0,0,0,1726,52,1685.10771691357
"70","V193","central_iwp","aceh","aceh_5",28.9640574,106.6,379.9162581,0,"Fished",126.9153394,"pare","passive","pare",30,0,0,0,0,0,0,0,0,2286,76,109667.696658296
"71","V1938","central_iwp","solomon","solomon_39",29.24609738,110.508,72.61468967,0,"Fished",116.2858683,"pare","passive","pare",66,0,0,0,0,0,0,0,0,1552,40,1126.20777711275
"72","V194","central_iwp","aceh","aceh_1",28.91175731,138.258,131.2382199,36,"Closed",453.732283,"pare","passive","pare",34,0,0,0,0,0,0,0,0,2438,81,285757.750529598
"73","V2718","offshore_tep","galapagos","galapagos_6",24.29601533,35.495,0.268098073,21,"Restricted",183.7046932,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"74","V2720","offshore_tep","galapagos","galapagos_7",23.75558272,49.897,0.251718396,21,"Restricted",552.266912,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"75","V2725","offshore_tep","galapagos","galapagos_8",23.73613035,36.55,0.196488391,21,"Restricted",203.1917289,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"76","V2729","offshore_tep","galapagos","galapagos_9",23.90043212,47.673,0.548783763,21,"Restricted",303.9409176,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"77","V2732","offshore_tep","galapagos","galapagos_10",25.48904106,34.561,0.014319231,21,"Restricted",258.5368862,"pare","passive","pare",0,0,0,0,0,0,0,0,0,26,1,0
"78","V2733","offshore_tep","galapagos","galapagos_11",25.83872891,43.089,0.011239473,21,"Restricted",381.9061842,"pare","passive","pare",26,0,0,0,0,0,0,0,0,52,2,1
"79","V2734","offshore_tep","galapagos","galapagos_5",23.77992005,31.315,0.040760519,21,"Restricted",159.5632964,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"80","V2735","eastern_atlantic","stome","stome_3",27.20654923,31.763,50.98759892,0,"Fished",55.67507126,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"81","V2738","hawaiian","hawaii","hawaii_6",25.02577162,60.884,18.57116427,0,"Fished",68.25257835,"pare","passive","pare",26,0,0,0,0,0,0,0,0,80,3,383.237301587302
"82","V2877","hawaiian","hawaii","hawaii_12",24.9570668,67,8140.402653,0,"Fished",84.16284667,"pare","passive","pare",0,0,0,0,0,0,0,0,0,686,22,12.8504901960784
"83","V2887","hawaiian","hawaii","hawaii_7",24.69258706,72.195,1355.044583,0,"Fished",68.83592228,"pare","passive","pare",0,0,0,0,0,0,0,0,0,306,11,0
"84","V2895","hawaiian","hawaii","hawaii_11",24.7334496,65.655,557.5603609,36,"Restricted",88.68727268,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"85","V2909","central_iwp","christmas_island","christmas_island_2",27.73467077,165.661,10.22965783,39,"Restricted",298.9445391,"pare","passive","pare",0,0,0,0,0,0,0,0,0,660,23,7385.70580784356
