"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"44","Inflow MPA","b_logbiomassarea_log_InflowMPA",0.9,0.5,"median",-0.186118099728684,-0.115828185145118,-0.0678170365926543,-0.0200736189466144,0.0532808369947347,"PARENTAL","Biomass","Extrinsic Connect."
"45","Inflow Neighb.","b_logbiomassarea_log_InflowNei",0.9,0.5,"median",-0.0882141743755139,-0.0167713168276903,0.032029812429186,0.080513839133713,0.15015633149328,"PARENTAL","Biomass","Extrinsic Connect."
"46","Productivity","b_logbiomassarea_prod.annual",0.9,0.5,"median",0.0160460522742884,0.0754035049127036,0.118381589939849,0.1639439067679,0.22925246463612,"PARENTAL","Biomass","Human/Env."
"47","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.41550489186383,-0.319792706429101,-0.253523405954578,-0.187049830664555,-0.0944648894610903,"PARENTAL","Biomass","Human/Env."
"48","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-0.325242744114067,-0.21481166751438,-0.136868076472279,-0.0621724628614281,0.0488146904368916,"PARENTAL","Biomass","Intrinsic Connect."
"49","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",0.21969431519053,0.380771642381054,0.492689271336231,0.601610936944793,0.7584762988253,"PARENTAL","Biomass","Human/Env."
"50","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",0.222336988638862,0.366752266065529,0.465577168336045,0.566909125359051,0.710223148844236,"PARENTAL","Biomass","Human/Env."
"51","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",0.0546488461986684,0.130735373949511,0.185972992637123,0.240919263396199,0.315593489468296,"PARENTAL","Biomass","Human/Env."
"52","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.131009456807594,0.28793829699002,0.393742064657712,0.501955546359271,0.655872239008019,"PARENTAL","Biomass","Human/Env."
"53","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0799279436304078,0.216516176212868,0.315843472642585,0.416569838388807,0.553627403411097,"PARENTAL","Biomass","Human/Env."
