"","From","To","Prob"
"179249","V1601","V1272",3
"179250","V1602","V1272",6
"179251","V1603","V1272",3
"179252","V1604","V1272",3
"179326","V1678","V1272",3
"179332","V1684","V1272",3
"179460","V1812","V1272",12
"179594","V1946","V1272",18
"179616","V1968","V1272",3
"179617","V1969","V1272",3
"179622","V1974","V1272",3
"179627","V1979","V1272",3
"180070","V2422","V1272",3
"180108","V2460","V1272",3
"180120","V2472","V1272",3
"180127","V2479","V1272",3
"180245","V2597","V1272",12
"180648","V3000","V1272",6
"193735","V1283","V1273",3
"193736","V1284","V1273",3
"193737","V1285","V1273",3
"193739","V1287","V1273",6
"193743","V1291","V1273",3
"193753","V1301","V1273",6
"193764","V1312","V1273",12
"193765","V1313","V1273",6
"193767","V1315","V1273",9
"193769","V1317","V1273",3
"193789","V1337","V1273",3
"193793","V1341","V1273",3
"193808","V1356","V1273",6
"193823","V1371","V1273",12
"193828","V1376","V1273",3
"193829","V1377","V1273",3
"193830","V1378","V1273",6
"193831","V1379","V1273",12
"193833","V1381","V1273",6
"193834","V1382","V1273",3
"193836","V1384","V1273",6
"193837","V1385","V1273",6
"193842","V1390","V1273",3
"193849","V1397","V1273",3
"193851","V1399","V1273",6
"193853","V1401","V1273",6
"193854","V1402","V1273",3
"193856","V1404","V1273",6
"193861","V1409","V1273",3
"193866","V1414","V1273",3
"193870","V1418","V1273",3
"193872","V1420","V1273",6
"193874","V1422","V1273",9
"193881","V1429","V1273",3
"193885","V1433","V1273",3
"193886","V1434","V1273",6
"193887","V1435","V1273",3
"193889","V1437","V1273",6
"193890","V1438","V1273",12
"193893","V1441","V1273",6
"193894","V1442","V1273",9
"193899","V1447","V1273",54
"193901","V1449","V1273",3
"193902","V1450","V1273",18
"193903","V1451","V1273",27
"193904","V1452","V1273",12
"193906","V1454","V1273",6
"193907","V1455","V1273",9
"193908","V1456","V1273",3
"193915","V1463","V1273",12
"193916","V1464","V1273",18
"193918","V1466","V1273",6
"193919","V1467","V1273",9
"193920","V1468","V1273",6
"193921","V1469","V1273",15
"193922","V1470","V1273",15
"193923","V1471","V1273",6
"193925","V1473","V1273",27
"193926","V1474","V1273",15
"193928","V1476","V1273",3
"193935","V1483","V1273",27
"193936","V1484","V1273",9
"193937","V1485","V1273",6
"193938","V1486","V1273",6
"193939","V1487","V1273",12
"193990","V1538","V1273",3
"194003","V1551","V1273",3
"194007","V1555","V1273",3
"194010","V1558","V1273",6
"194013","V1561","V1273",9
"194018","V1566","V1273",3
"194020","V1568","V1273",3
"194029","V1577","V1273",3
"194044","V1592","V1273",3
"194050","V1598","V1273",3
"194130","V1678","V1273",3
"194133","V1681","V1273",3
"194134","V1682","V1273",3
"194137","V1685","V1273",3
"194138","V1686","V1273",6
"194263","V1811","V1273",3
"194264","V1812","V1273",15
"194397","V1945","V1273",3
"194398","V1946","V1273",3
"194400","V1948","V1273",6
"194401","V1949","V1273",3
"194402","V1950","V1273",3
"194420","V1968","V1273",12
"194421","V1969","V1273",9
"194425","V1973","V1273",6
"194431","V1979","V1273",6
"194432","V1980","V1273",3
"195592","V3140","V1273",3
"195600","V3148","V1273",3
"208540","V1284","V1274",6
"208541","V1285","V1274",15
"208542","V1286","V1274",3
"208543","V1287","V1274",6
"208568","V1312","V1274",6
"208569","V1313","V1274",3
"208571","V1315","V1274",9
"208573","V1317","V1274",6
"208589","V1333","V1274",3
"208591","V1335","V1274",6
"208594","V1338","V1274",3
"208596","V1340","V1274",3
"208626","V1370","V1274",3
"208631","V1375","V1274",18
"208632","V1376","V1274",3
"208637","V1381","V1274",3
"208641","V1385","V1274",3
"208645","V1389","V1274",3
"208646","V1390","V1274",3
"208654","V1398","V1274",3
"208657","V1401","V1274",9
"208663","V1407","V1274",3
"208673","V1417","V1274",6
"208678","V1422","V1274",6
"208679","V1423","V1274",3
"208680","V1424","V1274",6
"208687","V1431","V1274",3
"208689","V1433","V1274",6
"208691","V1435","V1274",3
"208693","V1437","V1274",9
"208696","V1440","V1274",3
"208697","V1441","V1274",6
"208698","V1442","V1274",48
"208700","V1444","V1274",6
"208703","V1447","V1274",9
"208705","V1449","V1274",6
"208706","V1450","V1274",63
"208707","V1451","V1274",6
"208708","V1452","V1274",39
"208711","V1455","V1274",6
"208712","V1456","V1274",3
"208714","V1458","V1274",3
"208715","V1459","V1274",6
"208716","V1460","V1274",21
"208717","V1461","V1274",6
"208720","V1464","V1274",6
"208721","V1465","V1274",6
"208722","V1466","V1274",3
"208725","V1469","V1274",18
"208726","V1470","V1274",6
"208727","V1471","V1274",3
"208729","V1473","V1274",12
"208730","V1474","V1274",42
"208736","V1480","V1274",9
"208737","V1481","V1274",6
"208739","V1483","V1274",3
"208740","V1484","V1274",3
"208741","V1485","V1274",15
"208742","V1486","V1274",18
"208743","V1487","V1274",12
"208745","V1489","V1274",3
"208778","V1522","V1274",3
"208795","V1539","V1274",3
"208816","V1560","V1274",3
"208817","V1561","V1274",3
"208851","V1595","V1274",6
"208857","V1601","V1274",6
"208933","V1677","V1274",3
"208934","V1678","V1274",6
"208935","V1679","V1274",3
"208937","V1681","V1274",3
"208938","V1682","V1274",6
"208940","V1684","V1274",3
"208942","V1686","V1274",12
"208945","V1689","V1274",3
"209067","V1811","V1274",3
"209068","V1812","V1274",18
"209202","V1946","V1274",3
"209205","V1949","V1274",6
"209206","V1950","V1274",6
"209224","V1968","V1274",3
