"","From","To","Prob"
"208571","V1315","V1274",7
"208576","V1320","V1274",3
"208584","V1328","V1274",1
"208587","V1331","V1274",4
"208594","V1338","V1274",1
"208625","V1369","V1274",1
"208635","V1379","V1274",1
"208638","V1382","V1274",2
"208639","V1383","V1274",1
"208641","V1385","V1274",1
"208642","V1386","V1274",2
"208644","V1388","V1274",2
"208646","V1390","V1274",1
"208647","V1391","V1274",1
"208648","V1392","V1274",1
"208650","V1394","V1274",1
"208652","V1396","V1274",1
"208653","V1397","V1274",2
"208658","V1402","V1274",1
"208659","V1403","V1274",1
"208662","V1406","V1274",1
"208663","V1407","V1274",1
"208664","V1408","V1274",1
"208666","V1410","V1274",2
"208670","V1414","V1274",1
"208674","V1418","V1274",1
"208675","V1419","V1274",2
"208676","V1420","V1274",1
"208677","V1421","V1274",3
"208678","V1422","V1274",3
"208680","V1424","V1274",3
"208682","V1426","V1274",2
"208684","V1428","V1274",1
"208685","V1429","V1274",1
"208686","V1430","V1274",3
"208690","V1434","V1274",3
"208693","V1437","V1274",3
"208694","V1438","V1274",5
"208695","V1439","V1274",1
"208696","V1440","V1274",2
"208698","V1442","V1274",1
"208699","V1443","V1274",1
"208701","V1445","V1274",1
"208702","V1446","V1274",1
"208703","V1447","V1274",1
"208704","V1448","V1274",1
"208705","V1449","V1274",1
"208707","V1451","V1274",2
"208709","V1453","V1274",2
"208714","V1458","V1274",1
"208716","V1460","V1274",1
"208718","V1462","V1274",2
"208719","V1463","V1274",2
"208720","V1464","V1274",1
"208722","V1466","V1274",2
"208728","V1472","V1274",1
"208730","V1474","V1274",1
"208732","V1476","V1274",3
"208734","V1478","V1274",2
"208740","V1484","V1274",1
"208761","V1505","V1274",1
"208771","V1515","V1274",1
"208782","V1526","V1274",1
"208784","V1528","V1274",1
"208796","V1540","V1274",1
"208854","V1598","V1274",1
"208934","V1678","V1274",1
"208937","V1681","V1274",1
"208939","V1683","V1274",2
"208940","V1684","V1274",1
"208943","V1687","V1274",2
"208945","V1689","V1274",1
"208949","V1693","V1274",2
"209068","V1812","V1274",2
"209201","V1945","V1274",1
"209203","V1947","V1274",1
"209206","V1950","V1274",4
"209224","V1968","V1274",1
"209226","V1970","V1274",1
"209230","V1974","V1274",1
"209232","V1976","V1274",4
"209680","V2424","V1274",1
"210263","V3007","V1274",1
"210280","V3024","V1274",3
"218858","V11602","V1274",1
"219337","V12081","V1274",1
"220457","V13201","V1274",1
"220550","V13294","V1274",1
"220560","V13304","V1274",1
"220588","V13332","V1274",1
"220905","V13649","V1274",1
"223674","V1614","V1623",1
"223675","V1615","V1623",3
"223676","V1616","V1623",2
"223684","V1624","V1623",1
"223691","V1631","V1623",1
"223693","V1633","V1623",3
"223696","V1636","V1623",1
"223697","V1637","V1623",6
"223698","V1638","V1623",1
"223706","V1646","V1623",4
"223710","V1650","V1623",1
"223713","V1653","V1623",2
"223715","V1655","V1623",1
"223724","V1664","V1623",1
"223730","V1670","V1623",1
"223734","V1674","V1623",1
"223758","V1698","V1623",1
"223779","V1719","V1623",3
"223780","V1720","V1623",4
"223782","V1722","V1623",1
"223805","V1745","V1623",1
"223813","V1753","V1623",3
"223815","V1755","V1623",1
"223816","V1756","V1623",3
"223880","V1820","V1623",1
"223881","V1821","V1623",1
"223883","V1823","V1623",1
"223900","V1840","V1623",1
"223905","V1845","V1623",2
"223908","V1848","V1623",1
"223912","V1852","V1623",2
"223917","V1857","V1623",1
"223922","V1862","V1623",1
"223924","V1864","V1623",2
"223930","V1870","V1623",2
"223932","V1872","V1623",1
